target_id,identification,round,target,interface,p_id,p_type,p_rank,name,uid,model,e,nclash,threshold,fnat,fnonnat,f1,dockq,lrms,irms,srms,ia,dL,thetaL,nchain,(ligand_coverage/receptor_coverage),fIR_L,fIR_R,fOP_L,fOP_R,mrms_L,mrms_R,classification,main_classification,stars,clashes,low_id,md5
T47.1,T47_S01.M01,23,47,1,S01,S,1,Gray,128,1,0,8,73,0.8214,0.2333,0.7931,0.8087,2.6891,0.9920,2.1952,1704.8,1.98,10.90,0,(89/97),0.9259,0.9565,0.0385,0.1538,0.6868,0.7291,high,high,3,0,0,8e3c853a5aa0a20f32ee77e76feb4050
T47.1,T47_S01.M02,23,47,1,S01,S,1,Gray,128,2,0,13,73,0.7500,0.2075,0.7707,0.7808,2.7862,1.0066,1.8794,1418.3,2.01,10.49,0,(88/88),0.8519,0.9565,0.0000,0.0000,0.5658,0.7077,medium,medium,2,0,0,891a64908e28f97d7ff7a345b7769b06
T47.1,T47_S01.M03,23,47,1,S01,S,1,Gray,128,3,0,11,73,0.8036,0.1818,0.8108,0.7743,3.3107,1.0981,2.1121,1504.8,2.33,12.83,0,(88/88),0.8889,1.0000,0.0000,0.0417,0.6818,0.6938,medium,medium,2,0,0,cf87d6432c324c8179ee02d659f55325
T47.1,T47_S01.M04,23,47,1,S01,S,1,Gray,128,4,0,10,73,0.7500,0.1429,0.8000,0.7900,2.7714,0.9447,2.0353,1427.7,2.12,9.70,0,(88/88),0.8519,1.0000,0.0000,0.0000,0.5455,0.7664,high,high,3,0,0,e9619a1e8088d4fc47399466d4d29a96
T47.1,T47_S01.M05,23,47,1,S01,S,1,Gray,128,5,0,3,73,0.0536,0.9388,0.0571,0.0382,40.8001,10.6866,11.4289,1555.2,36.98,130.12,0,(88/98),0.8148,0.2174,0.1538,0.8000,0.3912,0.4921,incorrect,incorrect,0,0,0,fd482a7c2d425a4dbb7a7aa500d846a9
T47.1,T47_S01.M06,23,47,1,S01,S,1,Gray,128,6,0,11,73,0.7857,0.2143,0.7857,0.7565,3.6505,1.1264,2.0661,1533.4,2.69,13.61,0,(88/88),0.9259,0.8696,0.0000,0.1304,0.4865,0.7172,medium,medium,2,0,0,73ddccbd6d3b6c41090212a2ce5fdaa4
T47.1,T47_S01.M07,23,47,1,S01,S,1,Gray,128,7,0,12,73,0.7679,0.1400,0.8113,0.7571,3.7803,1.0562,2.0512,1490.0,2.95,13.36,0,(88/88),0.9630,0.8696,0.0000,0.0909,0.5383,0.7159,medium,medium,2,0,0,008e21c677717c751627a568659751c5
T47.1,T47_S01.M08,23,47,1,S01,S,1,Gray,128,8,0,12,73,0.8036,0.1818,0.8108,0.8587,1.0667,0.7782,1.9415,1639.7,0.61,3.84,0,(89/97),0.9259,1.0000,0.0000,0.0417,0.5791,0.8632,high,high,3,0,0,099bb6570c0697e5a533bbf7071292b1
T47.1,T47_S01.M09,23,47,1,S01,S,1,Gray,128,9,0,13,73,0.7500,0.1923,0.7778,0.7528,3.4801,1.0958,1.9434,1459.5,2.59,12.89,0,(88/88),0.8889,0.9130,0.0000,0.0000,0.5608,0.7466,medium,medium,2,0,0,0e7d0a90b99770d6cae09d073fb898dc
T47.1,T47_S01.M10,23,47,1,S01,S,1,Gray,128,10,0,15,73,0.7679,0.1569,0.8037,0.7373,3.9979,1.1614,2.1902,1426.8,2.87,15.70,0,(88/88),0.8889,0.9130,0.0000,0.0455,0.5144,0.6611,medium,medium,2,0,0,b9b910209a202c1a0c7016a76c2dc079
T47.1,T47_S03.M01,23,47,1,S03,S,3,Weng,78,1,0,18,73,0.8929,0.2188,0.8333,0.8583,1.9640,0.9060,1.7914,1849.3,1.19,7.91,0,(89/98),0.9259,1.0000,0.0741,0.1154,0.6940,0.6026,high,high,3,0,0,6db4fd65136bfbeab31631fb6fcead40
T47.1,T47_S03.M02,23,47,1,S03,S,3,Weng,78,2,0,20,73,0.8571,0.2836,0.7805,0.8700,1.2915,0.8071,1.9000,1746.5,0.76,4.87,0,(89/98),0.9259,1.0000,0.0385,0.0417,0.6486,0.7388,high,high,3,0,0,4c25a43c5a2d8899427337d1af13ba02
T47.1,T47_S03.M03,23,47,1,S03,S,3,Weng,78,3,0,18,73,0.8393,0.2985,0.7642,0.8583,1.7234,0.8082,1.8500,1817.2,0.72,8.64,0,(89/98),0.9630,0.9565,0.0370,0.1538,0.5978,0.6615,high,high,3,0,0,53760514fab74de73a763e9c6c02e979
T47.1,T47_S03.M04,23,47,1,S03,S,3,Weng,78,4,0,21,73,0.8750,0.2344,0.8167,0.8459,2.2504,0.9162,1.8772,1927.8,1.65,7.69,0,(89/98),0.9259,1.0000,0.1379,0.0800,0.6743,0.8210,high,high,3,0,0,39b48036b124bc7c16d1a0d092d6d730
T47.1,T47_S03.M05,23,47,1,S03,S,3,Weng,78,5,0,21,73,0.8036,0.3284,0.7317,0.7990,2.1328,1.0946,2.1240,1854.7,1.06,9.77,0,(89/98),0.9259,0.9565,0.1379,0.1538,0.6258,0.7665,medium,medium,2,0,0,673c2cf644bc10e787647a88a443158f
T47.1,T47_S03.M06,23,47,1,S03,S,3,Weng,78,6,0,21,73,0.8750,0.3378,0.7539,0.8772,1.2113,0.8047,1.9255,1819.5,0.51,5.22,0,(89/98),0.8889,0.9565,0.0769,0.1538,0.6699,0.6716,high,high,3,0,0,19e710d260516e66ec0460d7e0bedcda
T47.1,T47_S03.M07,23,47,1,S03,S,3,Weng,78,7,0,18,73,0.8750,0.2687,0.7967,0.8461,1.8465,0.9628,2.0091,1777.0,1.34,6.28,0,(89/98),0.9259,0.9565,0.1379,0.1200,0.6217,0.9442,high,high,3,0,0,276aef5318c56dcae17908f74a5dc00a
T47.1,T47_S03.M08,23,47,1,S03,S,3,Weng,78,8,0,20,73,0.8214,0.2698,0.7731,0.8090,1.8423,1.0994,2.0714,1778.3,0.71,9.26,0,(89/98),0.8889,1.0000,0.0000,0.2069,0.5792,0.8726,medium,medium,2,0,0,c30cd515ee4a3ff20b64d9ed8676b316
T47.1,T47_S03.M09,23,47,1,S03,S,3,Weng,78,9,0,19,73,0.6964,0.3710,0.6610,0.7722,2.1389,1.0299,2.3028,1752.6,1.42,7.51,0,(89/98),0.8889,0.9130,0.0769,0.1250,0.8604,0.6858,medium,medium,2,0,0,06c1fde94e47cfc3420419f9aed22214
T47.1,T47_S03.M10,23,47,1,S03,S,3,Weng,78,10,0,7,73,0.1071,0.9302,0.0845,0.0618,35.1076,9.8239,10.6075,2501.1,31.63,103.12,0,(88/100),0.9259,0.4348,0.2647,0.7297,1.1916,0.5236,incorrect,incorrect,0,0,0,9cb911c633273357e41b78de039f4816
T47.1,T47_S05.M01,23,47,1,S05,S,5,Kihara,199,1,0,65,73,0.0357,0.9706,0.0322,0.0519,27.2865,8.3168,9.2292,2090.4,23.14,107.25,0,(89/100),0.7037,0.4783,0.3448,0.6333,0.3912,0.5416,incorrect,incorrect,0,0,0,752fbab175b37b432859e643a4ff0713
T47.1,T47_S05.M02,23,47,1,S05,S,5,Kihara,199,2,0,62,73,0.8929,0.3151,0.7752,0.8818,1.3663,0.8019,1.8203,1841.1,0.97,5.26,0,(89/100),0.9259,0.9565,0.0741,0.1200,0.3912,0.5416,high,high,3,0,0,caf37646268feee654f911daa814645b
T47.1,T47_S05.M03,23,47,1,S05,S,5,Kihara,199,3,0,46,73,0.8929,0.2958,0.7874,0.8990,1.2416,0.6910,1.7416,1847.7,0.99,3.83,0,(89/100),0.9630,0.9565,0.1034,0.0833,0.3912,0.5416,high,high,3,0,0,40a51ba42b26e9a6ccb9e67dde0569bb
T47.1,T47_S05.M04,23,47,1,S05,S,5,Kihara,199,4,0,13,73,0.8214,0.2698,0.7731,0.7687,3.3053,1.1842,2.2014,1880.0,2.45,12.58,0,(89/98),0.9259,0.9565,0.1071,0.1538,0.6643,0.7076,medium,medium,2,0,0,95c9764c52ca55f7ea36ccd1635545ed
T47.1,T47_S05.M05,23,47,1,S05,S,5,Kihara,199,5,0,146,73,0.0357,0.9810,0.0248,0.0429,30.5729,10.1617,10.8190,2044.4,25.56,127.15,0,(89/98),0.7037,0.5217,0.2400,0.6129,0.3924,0.5465,incorrect,incorrect,0,1,0,0717306d73b7f041553a50767718c0b9
T47.1,T47_S05.M06,23,47,1,S05,S,5,Kihara,199,6,0,46,73,0.8929,0.2857,0.7937,0.9007,1.2545,0.6777,1.7702,1834.2,1.09,3.32,0,(89/100),0.9630,0.9565,0.1613,0.0435,0.3912,0.5416,high,high,3,0,0,0c1dfdfee4f3427a3dea8b32887623a5
T47.1,T47_S05.M07,23,47,1,S05,S,5,Kihara,199,7,0,17,73,0.8571,0.2941,0.7742,0.8538,1.4818,0.9034,1.8283,1754.2,0.76,6.36,0,(89/98),0.9259,0.9565,0.1071,0.1200,0.6084,0.6229,high,high,3,0,0,50cdb0590bad94545316410b8b385248
T47.1,T47_S05.M08,23,47,1,S05,S,5,Kihara,199,8,0,73,73,0.8929,0.3421,0.7576,0.8725,1.5260,0.8523,1.8794,1827.6,1.01,7.70,0,(89/100),0.9630,0.9130,0.1613,0.1250,0.3912,0.5416,high,high,3,0,0,affafdb670376a634fe4db5cb58187d0
T47.1,T47_S05.M09,23,47,1,S05,S,5,Kihara,199,9,0,18,73,0.8750,0.2687,0.7967,0.8461,1.8465,0.9628,2.0091,1777.0,1.34,6.28,0,(89/98),0.9259,0.9565,0.1379,0.1200,0.6217,0.9442,high,high,3,0,0,276aef5318c56dcae17908f74a5dc00a
T47.1,T47_S05.M10,23,47,1,S05,S,5,Kihara,199,10,0,154,73,0.0357,0.9806,0.0251,0.0419,30.7402,10.8259,11.4915,2056.5,25.13,141.79,0,(89/98),0.7407,0.5652,0.2308,0.5806,0.3918,0.5465,incorrect,incorrect,0,1,0,cc6e283a7065c3b5dfbcc988ecf08c40
