pdb_id,rec_chains,lig_chains
10gs,A,B
11as,A,B
12as,A,B
12gs,A,B
13gs,A,B
14gs,A,B
16gs,A,B
1a02,F,J
1a02,F,N
1a02,J,N
1a05,A,B
1a0f,A,B
1a0s,P,Q
1a0s,P,R
1a0s,Q,R
1a2d,A,B
1a2z,A,B
1a2z,A,C
1a2z,A,D
1a2z,B,C
1a2z,B,D
1a2z,C,D
1a3a,A,C
1a3w,A,B
1a4i,A,B
1a4q,A,B
1a4u,A,B
1a4x,A,B
1a4z,A,B
1a4z,A,C
1a4z,A,D
1a4z,B,C
1a4z,B,D
1a4z,C,D
1a5n,A,C
1a5n,B,C
1a5o,A,C
1a5o,B,C
1a5u,E,F
1a5u,E,G
1a5u,F,H
1a5u,G,H
1a69,A,C
1a69,B,C
1a79,A,B
1a79,A,C
1a79,A,D
1a79,B,C
1a79,C,D
1a81,A,C
1a81,A,E
1a81,C,E
1a88,A,B
1a88,A,C
1a88,B,C
1a8m,A,B
1a8m,A,C
1a8m,B,C
1a95,A,B
1a95,A,C
1a95,A,D
1a95,B,C
1a95,B,D
1a95,C,D
1a9x,A,B
1a9x,C,D
1a9x,E,F
1a9x,G,H
1acm,A,B
1acm,B,D
1acm,C,D
1ad1,A,B
1ady,C,D
1af6,A,B
1af6,A,C
1af6,B,C
1afw,A,B
1ag8,A,B
1ag8,A,C
1ag8,A,D
1ag8,B,C
1ag8,B,D
1ag8,C,D
1ag9,A,B
1agn,A,B
1agn,C,D
1ahg,A,B
1ahj,A,B
1ahu,A,B
1ahy,A,B
1ai6,A,B
1ai9,A,B
1aia,A,B
1aib,A,B
1aic,A,B
1aig,H,L
1aig,H,M
1aig,L,M
1aig,N,O
1aig,N,P
1aig,O,P
1aih,C,D
1aij,H,L
1aij,H,M
1aij,L,M
1aj8,A,B
1ajn,A,B
1ajs,A,B
1ajv,A,B
1ajx,A,B
1akh,A,B
1al2,1,2
1al2,1,3
1al2,2,4
1al2,3,4
1all,A,B
1alw,A,B
1an4,A,B
1an7,A,B
1an9,A,B
1aoh,A,B
1aoi,A,B
1aoi,A,E
1aoi,A,G
1aoi,B,D
1aoi,B,G
1aoi,B,H
1aoi,C,D
1aoi,C,E
1aoi,C,F
1aoi,D,F
1aoi,E,F
1aoi,F,H
1aoi,G,H
1aok,A,B
1aon,A,B
1aon,A,G
1aon,A,O
1aon,B,C
1aon,B,P
1aon,C,D
1aon,C,Q
1aon,D,E
1aon,D,R
1aon,E,F
1aon,E,S
1aon,F,G
1aon,F,T
1aon,G,U
1aon,H,I
1aon,H,N
1aon,I,J
1aon,J,K
1aon,K,L
1aon,L,M
1aon,M,N
1aon,O,P
1aon,O,U
1aon,P,Q
1aon,Q,R
1aon,R,S
1aon,S,T
1aon,T,U
1aor,A,B
1aq4,A,B
1aq4,A,C
1aq4,B,C
1aq6,A,B
1aqf,A,B
1aqf,A,C
1aqf,B,D
1aqf,C,D
1aqf,E,F
1aqf,E,G
1aqf,F,H
1aqf,G,H
1aqu,A,B
1ar4,A,B
1ar6,1,2
1ar6,1,3
1ar6,2,3
1ar6,2,4
1ar9,1,3
1ar9,1,4
1ar9,2,3
1ar9,2,4
1ar9,3,4
1arg,A,B
1ari,A,B
1asm,A,B
1asn,A,B
1asq,A,B
1aui,A,B
1aur,A,B
1auv,A,B
1aux,A,B
1auy,A,B
1auy,A,C
1auy,B,C
1av8,A,B
1avq,A,B
1avq,A,C
1avq,B,C
1aw1,D,E
1aw1,G,H
1aw1,J,K
1awp,A,B
1ax4,A,B
1ax4,A,C
1ax4,A,D
1ax4,B,C
1ax4,B,D
1ax4,C,D
1axe,A,B
1axg,A,B
1axg,C,D
1axw,A,B
1ay0,A,B
1ay4,A,B
1ay8,A,B
1aym,1,2
1aym,1,3
1aym,3,4
1ayo,A,B
1ayp,B,E
1az4,A,B
1azb,A,B
1azc,A,B
1azd,A,B
1azd,A,C
1azd,B,D
1azd,C,D
1b14,A,B
1b16,A,B
1b26,A,B
1b26,A,C
1b26,A,F
1b26,B,C
1b26,B,E
1b26,C,D
1b26,D,E
1b26,D,F
1b26,E,F
1b2p,A,B
1b33,A,B
1b33,A,F
1b33,B,C
1b33,B,N
1b33,C,D
1b33,D,E
1b33,D,N
1b33,E,F
1b33,F,N
1b33,H,I
1b33,H,M
1b33,I,J
1b33,I,O
1b33,J,K
1b33,K,L
1b33,K,O
1b33,L,M
1b33,M,O
1b35,A,C
1b35,B,C
1b3b,A,B
1b3b,A,C
1b3b,A,F
1b3b,B,C
1b3b,B,E
1b3b,C,D
1b3b,D,E
1b3b,D,F
1b3b,E,F
1b44,D,E
1b44,D,H
1b44,E,F
1b44,F,G
1b44,G,H
1b4a,A,B
1b4a,A,C
1b4a,A,F
1b4a,B,C
1b4a,B,E
1b4a,C,D
1b4a,C,E
1b4a,D,E
1b4a,D,F
1b4a,E,F
1b5o,A,B
1b5p,A,B
1b67,A,B
1b6j,A,B
1b6l,A,B
1b6s,C,D
1b72,A,B
1b7t,A,Y
1b7t,A,Z
1b8c,A,B
1b8z,A,B
1b97,A,B
1b9b,A,B
1b9m,A,B
1b9n,A,B
1baz,A,B
1baz,B,D
1baz,C,D
1bc2,A,B
1bcc,A,B
1bcc,A,C
1bcc,A,E
1bcc,A,G
1bcc,C,D
1bcc,C,E
1bcc,C,F
1bcc,C,G
1bcc,D,E
1bcc,D,F
1bcc,D,G
1bcc,D,H
1bcc,D,J
1bcc,E,G
1bcc,E,J
1bcc,F,G
1bcp,A,B
1bcp,A,C
1bcp,A,D
1bcp,A,E
1bcp,A,F
1bcp,B,D
1bcp,B,F
1bcp,C,D
1bcp,C,E
1bcp,E,F
1bcp,G,H
1bcp,G,I
1bcp,G,J
1bcp,G,K
1bcp,G,L
1bcp,H,J
1bcp,H,L
1bcp,I,J
1bcp,I,K
1bcp,K,L
1bd0,A,B
1bd4,A,C
1bd4,A,D
1bd4,B,C
1bd4,B,D
1bdl,A,B
1bdm,A,B
1bdq,A,B
1bdr,A,B
1be3,A,B
1be3,A,C
1be3,A,E
1be3,A,G
1be3,A,I
1be3,B,I
1be3,C,D
1be3,C,E
1be3,C,F
1be3,C,G
1be3,D,E
1be3,D,F
1be3,D,G
1be3,D,H
1be3,D,J
1be3,E,G
1be3,E,J
1be3,F,G
1be3,J,K
1bhg,A,B
1bhm,A,B
1bhn,A,B
1bhn,A,C
1bhn,A,E
1bhn,B,C
1bhn,B,D
1bhn,C,F
1bhn,D,E
1bhn,D,F
1bhn,E,F
1bjj,A,E
1bjj,C,D
1bjn,A,B
1bjo,A,B
1bjw,A,B
1bkg,A,B
1bkg,C,D
1bkn,A,B
1bko,A,B
1bko,C,D
1bkp,A,B
1bl9,A,B
1bo4,A,B
1bo6,A,B
1bp3,A,B
1bp7,A,B
1bp7,C,D
1bpl,A,B
