target,n_decoys,n_acceptable_plus,n_medium_plus,n_high,n_positive,spearman,pearson,top20_spearman,auc_pos,auc_any,auc_med,auc_high,auc_dockq,success@1,success_any@1,success_med@1,success_high@1,hitrate@1,success@2,success_any@2,success_med@2,success_high@2,hitrate@2,success@5,success_any@5,success_med@5,success_high@5,hitrate@5,success@10,success_any@10,success_med@10,success_high@10,hitrate@10,success@100,success_any@100,success_med@100,success_high@100,hitrate@100
S-T024.1,20,0,0,0,0,-0.35719759705884824,0.08088087405706755,-0.35719759705884824,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T025.1,60,22,6,0,22,-0.037519281788388904,-0.07262017438616782,-0.0264252938938435,0.35167464114832536,0.35167464114832536,0.42592592592592593,,0.35167464114832536,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.1,1,True,True,False,0.36666666666666664
S-T026.1,65,26,14,6,26,0.08839791081461368,0.09176591322551816,0.016541353383458645,0.5315581854043392,0.5315581854043392,0.645658263305322,0.5677966101694915,0.5152380952380953,0,False,False,False,1.0,0,False,False,False,0.5,0,False,False,False,0.2,1,True,True,True,0.6,1,True,True,True,0.5384615384615384
S-T029.1,145,27,14,1,27,-0.42802628727028635,-0.4163469421142082,0.16622791698292633,0.18016321406151914,0.18016321406151914,0.2682660850599782,0.3680555555555556,0.17612942612942614,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,True,0.08
S-T030.1,131,0,0,0,0,0.003072356541366115,-0.03084290738780483,-0.08954103362481289,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T032.1,120,2,0,0,2,-0.13305922332380465,-0.3996858617952756,-0.19427732875489787,0.01694915254237289,0.01694915254237289,,,0.01694915254237289,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T035.1,101,1,0,0,1,-0.07771842763406527,0.02430608383324878,0.18907754809657318,0.38,0.38,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,False,False,0.0
S-T036.1,80,0,0,0,0,0.1602785451784308,0.03918942236606905,-0.36493614544566594,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T037.1,110,26,15,5,26,0.09647554753192908,0.044225990996193315,-0.17306250196392406,0.5471611721611722,0.5471611721611722,0.4421052631578947,0.6438095238095238,0.5471611721611722,1,True,False,False,1.0,1,True,True,False,1.0,1,True,True,True,0.6,1,True,True,True,0.6,1,True,True,True,0.21
S-T037.2,110,11,5,0,11,0.100617645758398,0.03345630557428454,0.08649868983274446,0.5087235996326905,0.5087235996326905,0.34857142857142853,,0.5087235996326905,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.11
S-T038.1,100,0,0,0,0,0.15556009833505605,0.11374219890557853,-0.27830013250535174,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T039.1,130,0,0,0,0,0.13798737262171357,-0.08458390874822344,-0.30433198976500225,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T040.1,150,58,46,19,58,0.3459732197401555,0.3505541101421894,-0.18879279259146836,0.6997751124437781,0.6997751124437781,0.6546822742474916,0.6046605062274006,0.6947289998137456,1,True,True,False,1.0,1,True,True,False,0.5,1,True,True,False,0.2,1,True,True,False,0.4,1,True,True,True,0.53
S-T040.2,150,43,40,22,43,0.013373324115029608,0.04721666874337585,0.11437174042833244,0.49836991958269944,0.49836991958269944,0.5281818181818183,0.5877130681818181,0.4951097587480982,0,False,False,False,0.0,1,True,True,False,0.5,1,True,True,False,0.2,1,True,True,False,0.2,1,True,True,True,0.3
S-T041.1,120,74,20,2,74,-0.09785850953905749,0.00436291492782379,-0.10225563909774435,0.46445358401880144,0.46445358401880144,0.4035,0.2711864406779661,0.46021568055960355,0,False,False,False,0.0,1,True,False,False,0.5,1,True,False,False,0.4,1,True,True,False,0.5,1,True,True,True,0.63
S-T046.1,160,16,0,0,16,0.42936847534893396,0.34125251385257604,0.40996955955305775,0.8719618055555556,0.8719618055555556,,,0.8099472990777339,0,False,False,False,0.0,1,True,False,False,0.5,1,True,False,False,0.6,1,True,False,False,0.7,1,True,False,False,0.22
S-T047.1,128,101,101,63,101,0.20986608725233705,0.25292008201998994,-0.1195938407252728,0.6087275394206086,0.6087275394206086,0.6087275394206086,0.5807081807081806,0.6087275394206086,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,True,0.6,1,True,True,True,0.6,1,True,True,True,0.84
S-T050.1,140,35,14,0,35,0.11589144755119553,0.1002286899902322,-0.030097826428508535,0.6190476190476191,0.6190476190476191,0.44160997732426305,,0.6190476190476191,0,False,False,False,0.0,0,False,False,False,0.0,1,True,False,False,0.4,1,True,False,False,0.4,1,True,True,False,0.3
S-T053.1,130,38,13,0,38,0.07608268154860488,0.05386883372209619,-0.19841683563677998,0.5431922196796338,0.5431922196796338,0.4128862590401052,,0.5372222222222223,1,True,True,False,1.0,1,True,True,False,0.5,1,True,True,False,0.6,1,True,True,False,0.6,1,True,True,False,0.31
S-T054.1,130,0,0,0,0,-0.07734328285140753,-0.020831344852930703,0.12180451127819547,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T068.1,120,0,0,0,0,-0.05186586369768748,-0.059764553145977756,-0.518630364461092,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T068.2,120,0,0,0,0,0.17320726447563006,0.1800892590433044,-0.012048206434412272,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T069.1,132,82,58,0,82,0.5091952195133347,0.42711332649056694,0.23609022556390977,0.6909756097560975,0.6909756097560975,0.7856477166821995,,0.6909756097560975,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,0.8,1,True,True,False,0.71
