target,n_decoys,n_acceptable_plus,n_medium_plus,n_high,n_positive,spearman,pearson,top20_spearman,auc_pos,auc_any,auc_med,auc_high,auc_dockq,success@1,success_any@1,success_med@1,success_high@1,hitrate@1,success@2,success_any@2,success_med@2,success_high@2,hitrate@2,success@5,success_any@5,success_med@5,success_high@5,hitrate@5,success@10,success_any@10,success_med@10,success_high@10,hitrate@10,success@100,success_any@100,success_med@100,success_high@100,hitrate@100
S-T024.1,19,0,0,0,0,-0.1723840653122437,0.030166063514607915,-0.1723840653122437,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T025.1,58,21,6,0,20,-0.3748250155113312,-0.26932754472125775,-0.13439149466011838,0.3539473684210527,0.3307593307593307,0.3237179487179487,,0.3307593307593307,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.3620689655172414
S-T026.1,65,26,14,6,14,-0.049848117322159165,0.02855813725954229,-0.29624060150375936,0.3599439775910364,0.47534516765286,0.3599439775910364,0.288135593220339,0.5,1,True,True,False,1.0,1,True,True,False,0.5,1,True,True,False,0.4,1,True,True,False,0.5,1,True,True,True,0.5384615384615384
S-T029.1,143,27,14,1,27,-0.594313824213578,-0.5051748804343104,0.25799174445766393,0.11334610472541506,0.1028097062579821,0.1733111849390919,0.10563380281690138,0.103416149068323,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.04
S-T030.1,130,0,0,0,0,-0.4038091765008692,-0.56958588321817,0.1572611430889571,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T032.1,120,2,0,0,2,-0.04491225396878019,-0.35188940704492766,-0.5948801926991059,0.0,0.0,,,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T035.1,100,1,0,0,0,0.18638707288027004,0.10407425001210638,0.19435062712715492,,0.36363636363636365,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,True,False,False,0.0
S-T036.1,80,0,0,0,0,-0.1291770983997315,-0.22912437076526154,-0.33107609071359384,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T037.1,109,26,15,5,22,0.004133207918286754,0.03078150021722819,0.05116630492846451,0.44775339602925807,0.48656163113994433,0.42978723404255315,0.6519230769230769,0.48656163113994433,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,True,False,False,0.1,1,True,True,True,0.25
S-T037.2,109,11,5,0,9,0.00025021488366972053,-0.010285225351846075,-0.09556057185854024,0.2899999999999999,0.3923933209647496,0.2634615384615384,,0.3923933209647496,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.11
S-T038.1,97,0,0,0,0,0.08006130156794448,0.06698627197096507,-0.4039112733929024,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T039.1,125,0,0,0,0,0.08974276518790646,0.04316956675563609,0.18907754809657318,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T040.1,149,58,46,19,59,0.241852306708739,0.2413635043304163,0.011282437804271019,0.6013182674199624,0.5985221674876848,0.6084845926551287,0.5068825910931174,0.5896421845574388,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.2,1,True,True,False,0.5,1,True,True,True,0.46
