target,n_decoys,n_fnat_gt_0.3,max_fnat,best_model_id,best_dockq,tradock_top1_model_id,tradock_top1_fnat,tradock_top1_dockq,tradock_top1_success
S-T025.1,60,20,0.9231,376,0.8286,340,0.1731,0.1072,False
S-T026.1,65,14,0.5484,363,0.7067,393,0.5054,0.6096,True
S-T029.1,145,27,0.7959,452,0.7571,438,0.0,0.0109,False
S-T032.1,120,2,0.4706,449,0.4577,401,0.0,0.0193,False
S-T037.1,110,22,0.9388,444,0.9033,415,0.0,0.0126,False
S-T037.2,110,9,0.6735,405,0.7031,401,0.0204,0.1384,False
S-T040.1,150,59,0.9219,381,0.8416,378,0.8594,0.7056,True
S-T040.2,150,44,0.9452,511,0.899,448,0.0,0.0383,False
S-T041.1,130,73,0.9492,376,0.9255,408,0.0,0.0018,False
S-T046.1,160,27,0.5362,453,0.3627,514,0.4203,0.2212,True
S-T047.1,128,101,0.9286,339,0.7449,401,0.8393,0.8349,True
S-T050.1,140,26,0.7347,369,0.5264,411,0.6735,0.5834,True
S-T053.1,130,25,0.7692,394,0.7518,483,0.1538,0.1189,False
S-T054.1,130,1,0.32,480,0.1639,480,0.32,0.1639,True
S-T069.1,132,74,0.6482,277,0.5979,375,0.5075,0.5509,True
S-T070.2,130,25,0.75,252,0.6272,351,0.3333,0.4157,True
S-T071.3,131,5,0.625,303,0.4911,328,0.0,0.0812,False
S-T072.1,130,10,0.6316,310,0.3983,268,0.4211,0.2632,True
S-T073.2,110,3,0.75,272,0.2844,327,0.0,0.0247,False
S-T075.1,120,33,0.5479,263,0.5303,260,0.411,0.3237,True
S-T078.1,110,42,0.4464,258,0.2268,260,0.0,0.0243,False
S-T079.1,120,6,0.7451,322,0.5941,318,0.0,0.0156,False
S-T080.1,120,64,0.8125,271,0.7872,375,0.6875,0.6871,True
S-T081.1,110,41,0.7917,243,0.685,247,0.3125,0.3453,True
S-T085.1,120,103,0.7927,286,0.7163,358,0.0109,0.0145,False
S-T086.1,120,4,0.5714,328,0.2544,282,0.0,0.0268,False
S-T086.2,120,9,1.0,275,0.8141,282,0.0,0.0258,False
S-T087.1,120,82,0.6538,266,0.6141,257,0.0458,0.0709,False
S-T089.1,110,51,0.7925,287,0.6801,279,0.0,0.0114,False
S-T090.1,110,54,0.7516,255,0.585,279,0.5541,0.5376,True
S-T091.1,110,88,0.7955,352,0.6107,280,0.7273,0.5955,True
S-T092.1,110,63,0.5203,246,0.5183,264,0.3577,0.4666,True
S-T093.1,110,86,0.7363,287,0.6827,313,0.0,0.0121,False
S-T094.1,120,42,0.7083,220,0.5109,240,0.0,0.0195,False
S-T096.1,155,1,0.32,386,0.3634,381,0.0182,0.0607,False
S-T097.1,150,12,0.5488,367,0.5528,363,0.0366,0.0418,False
S-T104.1,170,140,0.8167,410,0.8433,363,0.65,0.6977,True
S-T105.1,169,149,0.9259,486,0.8891,424,0.4815,0.4391,True
