target,in_tradock,in_bioscore,tradock_spearman,bioscore_spearman,delta_spearman,tradock_pearson,bioscore_pearson,delta_pearson,tradock_top20_spearman,bioscore_top20_spearman,delta_top20_spearman,tradock_auc_pos,bioscore_auc_pos,delta_auc_pos,tradock_auc_any,bioscore_auc_any,delta_auc_any,tradock_auc_med,bioscore_auc_med,delta_auc_med,tradock_auc_high,bioscore_auc_high,delta_auc_high,tradock_auc_dockq,bioscore_auc_dockq,delta_auc_dockq,tradock_success@1,bioscore_success@1,delta_success@1,tradock_success@2,bioscore_success@2,delta_success@2,tradock_success@5,bioscore_success@5,delta_success@5,tradock_success@10,bioscore_success@10,delta_success@10,tradock_success@100,bioscore_success@100,delta_success@100,tradock_success_any@1,bioscore_success_any@1,delta_success_any@1,tradock_success_any@2,bioscore_success_any@2,delta_success_any@2,tradock_success_any@5,bioscore_success_any@5,delta_success_any@5,tradock_success_any@10,bioscore_success_any@10,delta_success_any@10,tradock_success_any@100,bioscore_success_any@100,delta_success_any@100,tradock_hitrate@1,bioscore_hitrate@1,delta_hitrate@1,tradock_hitrate@2,bioscore_hitrate@2,delta_hitrate@2,tradock_hitrate@5,bioscore_hitrate@5,delta_hitrate@5,tradock_hitrate@10,bioscore_hitrate@10,delta_hitrate@10,tradock_hitrate@100,bioscore_hitrate@100,delta_hitrate@100
S-T024.1,1,1,0.25471052279723777,-0.1723840653122437,0.4270945881094815,0.2666425045895136,0.030166063514607915,0.2364764410749057,0.25471052279723777,-0.1723840653122437,0.4270945881094815,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-T025.1,1,1,0.6304906864084374,-0.3748250155113312,1.0053157019197685,0.5310596203566692,-0.26932754472125775,0.800387165077927,0.5217108023041674,-0.13439149466011838,0.6561022969642858,0.7875,0.3539473684210527,0.4335526315789473,0.812200956937799,0.3307593307593307,0.4814416261784683,0.7654320987654322,0.3237179487179487,0.4417141500474835,0.0,,,0.812200956937799,0.3307593307593307,0.4814416261784683,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.8,0.0,0.8,0.8,0.0,0.8,0.36666666666666664,0.3620689655172414,0.0045977011494252595
S-T026.1,1,1,0.14969732733747929,-0.049848117322159165,0.19954544465963844,0.1583146833344786,0.02855813725954229,0.1297565460749363,0.26165413533834586,-0.29624060150375936,0.5578947368421052,0.5896358543417367,0.3599439775910364,0.2296918767507003,0.5532544378698224,0.47534516765286,0.07790927021696242,0.5896358543417367,0.3599439775910364,0.2296918767507003,0.652542372881356,0.288135593220339,0.364406779661017,0.5990476190476192,0.5,0.09904761904761916,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.6,0.4,0.19999999999999996,0.4,0.5,-0.09999999999999998,0.5384615384615384,0.5384615384615384,0.0
S-T029.1,1,1,0.5447285157653458,-0.594313824213578,1.1390423399789238,0.45322433054818384,-0.5051748804343104,0.9583992109824941,0.3377209716078458,0.25799174445766393,0.07972922715018188,0.856873822975518,0.11334610472541506,0.7435277182501029,0.8493408662900188,0.1028097062579821,0.7465311600320367,0.8898582333696837,0.1733111849390919,0.7165470484305918,0.9027777777777778,0.10563380281690138,0.7971439749608764,0.8501221001221001,0.103416149068323,0.7467059510537771,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.6,0.0,0.6,0.4,0.0,0.4,0.28,0.04,0.24000000000000002
S-T030.1,1,1,0.27360789765691534,-0.4038091765008692,0.6774170741577845,0.3660366988463863,-0.56958588321817,0.9356225820645563,-0.267870655213726,0.1572611430889571,-0.4251317983026831,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-T032.1,1,1,0.05073950994250592,-0.04491225396878019,0.0956517639112861,0.05200952484562667,-0.35188940704492766,0.4038989318905543,0.3689763220538758,-0.5948801926991059,0.9638565147529816,0.47457627118644063,0.0,0.47457627118644063,0.47457627118644063,0.0,0.47457627118644063,0.0,,,0.0,,,0.47457627118644063,0.0,0.47457627118644063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02
S-T035.1,1,1,-0.46789499185119604,0.18638707288027004,-0.6542820647314661,-0.20386025091610202,0.10407425001210638,-0.3079345009282084,0.0474577112752355,0.19435062712715492,-0.14689291585191944,0.0,,,0.27,0.36363636363636365,-0.09363636363636363,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-T036.1,1,1,-0.03995240505910563,-0.1291770983997315,0.08922469334062585,-0.004323861625481158,-0.22912437076526154,0.2248005091397804,0.22799103519595215,-0.33107609071359384,0.559067125909546,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-T037.1,1,1,-0.1272271514735852,0.004133207918286754,-0.13136035939187196,0.01692245394688358,0.03078150021722819,-0.013859046270344611,-0.13845000157113926,0.05116630492846451,-0.18961630649960376,0.5320247933884298,0.44775339602925807,0.08427139735917172,0.4578754578754579,0.48656163113994433,-0.028686173264486414,0.5375438596491229,0.42978723404255315,0.10775662560656973,0.5733333333333334,0.6519230769230769,-0.07858974358974358,0.4578754578754579,0.48656163113994433,-0.028686173264486414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.25,0.25,0.0
S-T037.2,1,1,0.1523826698912919,0.00025021488366972053,0.15213245500762218,0.1654299841645023,-0.010285225351846075,0.1757152095163484,0.027830013250535177,-0.09556057185854024,0.12339058510907541,0.5907590759075907,0.2899999999999999,0.30075907590759077,0.5730027548209367,0.3923933209647496,0.18060943385618705,0.5866666666666667,0.2634615384615384,0.32320512820512826,0.0,,,0.5730027548209367,0.3923933209647496,0.18060943385618705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.11,0.11,0.0
