target,in_tradock,in_bioscore,tradock_spearman,bioscore_spearman,delta_spearman,tradock_pearson,bioscore_pearson,delta_pearson,tradock_top20_spearman,bioscore_top20_spearman,delta_top20_spearman,tradock_auc_pos,bioscore_auc_pos,delta_auc_pos,tradock_auc_any,bioscore_auc_any,delta_auc_any,tradock_auc_med,bioscore_auc_med,delta_auc_med,tradock_auc_high,bioscore_auc_high,delta_auc_high,tradock_auc_dockq,bioscore_auc_dockq,delta_auc_dockq,tradock_success@1,bioscore_success@1,delta_success@1,tradock_success@2,bioscore_success@2,delta_success@2,tradock_success@5,bioscore_success@5,delta_success@5,tradock_success@10,bioscore_success@10,delta_success@10,tradock_success@100,bioscore_success@100,delta_success@100,tradock_success_any@1,bioscore_success_any@1,delta_success_any@1,tradock_success_any@2,bioscore_success_any@2,delta_success_any@2,tradock_success_any@5,bioscore_success_any@5,delta_success_any@5,tradock_success_any@10,bioscore_success_any@10,delta_success_any@10,tradock_success_any@100,bioscore_success_any@100,delta_success_any@100,tradock_hitrate@1,bioscore_hitrate@1,delta_hitrate@1,tradock_hitrate@2,bioscore_hitrate@2,delta_hitrate@2,tradock_hitrate@5,bioscore_hitrate@5,delta_hitrate@5,tradock_hitrate@10,bioscore_hitrate@10,delta_hitrate@10,tradock_hitrate@100,bioscore_hitrate@100,delta_hitrate@100
S-T024.1,1,1,0.40241248276249997,-0.1723840653122437,0.5747965480747437,,0.030166063514607915,,,-0.1723840653122437,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
S-T025.1,1,1,0.16219446556817604,-0.3748250155113312,0.5370194810795073,,-0.26932754472125775,,,-0.13439149466011838,,0.6475000000000001,0.3539473684210527,0.2935526315789474,,0.3307593307593307,,,0.3237179487179487,,,,,,0.3307593307593307,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.3620689655172414,
S-T026.1,1,1,0.24474141417809955,-0.049848117322159165,0.29458953150025874,,0.02855813725954229,,,-0.29624060150375936,,0.5490196078431372,0.3599439775910364,0.18907563025210078,,0.47534516765286,,,0.3599439775910364,,,0.288135593220339,,,0.5,,0.0,1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,0.5,,,0.4,,,0.5,,,0.5384615384615384,
S-T029.1,1,1,0.5951713380268616,-0.594313824213578,1.1894851622404397,,-0.5051748804343104,,,0.25799174445766393,,0.8885750156936597,0.11334610472541506,0.7752289109682446,,0.1028097062579821,,,0.1733111849390919,,,0.10563380281690138,,,0.103416149068323,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.04,
S-T030.1,1,1,0.31319660395917165,-0.4038091765008692,0.7170057804600409,,-0.56958588321817,,,0.1572611430889571,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
S-T032.1,1,1,-0.1691004624184322,-0.04491225396878019,-0.12418820844965203,,-0.35188940704492766,,,-0.5948801926991059,,0.2288135593220339,0.0,0.2288135593220339,,0.0,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
S-T035.1,1,1,-0.19713289072043444,0.18638707288027004,-0.3835199636007045,,0.10407425001210638,,,0.19435062712715492,,0.0,,,,0.36363636363636365,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
S-T036.1,1,1,-0.30193081644311387,-0.1291770983997315,-0.17275371804338238,,-0.22912437076526154,,,-0.33107609071359384,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
S-T037.1,1,1,0.03601771808180669,0.004133207918286754,0.03188451016351994,,0.03078150021722819,,,0.05116630492846451,,0.6694214876033058,0.44775339602925807,0.2216680915740477,,0.48656163113994433,,,0.42978723404255315,,,0.6519230769230769,,,0.48656163113994433,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,,,0.0,,,0.0,,,1.0,,,1.0,,,0.0,,,0.0,,,0.0,,,0.1,,,0.25,
S-T037.2,1,1,0.06070975320160424,0.00025021488366972053,0.06045953831793452,,-0.010285225351846075,,,-0.09556057185854024,,0.7117711771177117,0.2899999999999999,0.4217711771177117,,0.3923933209647496,,,0.2634615384615384,,,,,,0.3923933209647496,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.11,
