target,n_models,n_acceptable,auc,spearman_r,spearman_p,top1_dockq,top1_class,success_top1,success_top2,success_top5,success_top10,success_top100,ef1pct
S-T154.1,166,1,0.1515151515151515,-0.026112770588676008,0.7384141021341992,0.0065,incorrect,0,0,0,0,0,0.0
S-T158.1,158,129,0.41325848703555196,0.1133812963069426,0.15606157913713445,0.6116,medium,1,1,1,1,1,1.2248062015503876
S-T159.1,150,139,0.4231523871811641,0.07507504931064736,0.36120290962717616,0.6995,medium,1,1,1,1,1,1.079136690647482
S-T159.2,115,0,0.0,0.5140122435931668,4.218447330845108e-09,0.0062,incorrect,0,0,0,0,0,0.0
S-T159.3,99,0,0.0,-0.10431596075213775,0.3041590305253509,0.0063,incorrect,0,0,0,0,0,0.0
S-T159.4,83,0,0.0,-0.1826741348348995,0.0983427615866739,0.0133,incorrect,0,0,0,0,0,0.0
S-T159.5,83,0,0.0,-0.3990502315075809,0.00018631763561591857,0.0055,incorrect,0,0,0,0,0,0.0
S-T159.6,114,108,0.396604938271605,-0.07638347278439023,0.41923715268140815,0.5146,acceptable,1,1,1,1,1,1.0555555555555556
S-T159.7,143,88,0.5415289256198348,0.023462234894579895,0.7809022946114673,0.3416,acceptable,1,1,1,1,1,1.625
S-T164.1,169,148,0.8490990990990992,0.27786428091794924,0.00025446525017705133,0.4124,acceptable,1,1,1,1,1,1.1418918918918919
S-T165.1,190,0,0.0,0.052752846728129285,0.4697702508040237,0.0018,incorrect,0,0,0,0,0,0.0
S-T166.1,190,104,0.7053890876565295,0.34967242221117006,7.6104794258981e-07,0.501,medium,1,1,1,1,1,1.8269230769230769
S-T169.1,189,1,0.8563829787234042,-0.07554198602082615,0.30154866989752455,0.0351,incorrect,0,0,0,0,1,0.0
S-T176.1,185,15,0.7784313725490195,0.1523009002476385,0.038493132869463854,0.0862,incorrect,0,0,1,1,1,0.0
S-T180.1,171,10,0.6708074534161491,0.38889825656981725,1.46728050152949e-07,0.0772,incorrect,0,0,1,1,1,0.0
S-T180.2,172,116,0.5646551724137931,0.0790431053614692,0.30268378615206637,0.2552,acceptable,1,1,1,1,1,1.4827586206896552
