group_key,group_label,rank_in_group,sort_metric,sort_descending,target,model_id,original_index,identification,mdn_score,fnat,dockq,lrms,irms,classification,extracted_pdb
tradock_mdn_top5,TraDock/MDN top 5,1,mdn_score,True,S-T047.1,401,124,T47_S21.M04,-0.617780864238739,0.8393,0.8349,1.7237,0.9705,high,results/single_target_rank_compare/S-T047.1/structures/tradock_mdn_top5_rank1_S-T047.1_model401.pdb
tradock_mdn_top5,TraDock/MDN top 5,2,mdn_score,True,S-T047.1,292,15,T47_S03.M05,-0.617937445640564,0.8036,0.799,2.1328,1.0946,medium,results/single_target_rank_compare/S-T047.1/structures/tradock_mdn_top5_rank2_S-T047.1_model292.pdb
tradock_mdn_top5,TraDock/MDN top 5,3,mdn_score,True,S-T047.1,285,8,T47_S01.M08,-0.628867506980896,0.8036,0.8587,1.0667,0.7782,high,results/single_target_rank_compare/S-T047.1/structures/tradock_mdn_top5_rank3_S-T047.1_model285.pdb
tradock_mdn_top5,TraDock/MDN top 5,4,mdn_score,True,S-T047.1,318,41,T47_S10.M01,-0.6289499402046204,0.875,0.8511,1.6574,0.9472,high,results/single_target_rank_compare/S-T047.1/structures/tradock_mdn_top5_rank4_S-T047.1_model318.pdb
tradock_mdn_top5,TraDock/MDN top 5,5,mdn_score,True,S-T047.1,393,116,T47_S20.M06,-0.6294170022010803,0.7679,0.8198,1.8129,0.9005,high,results/single_target_rank_compare/S-T047.1/structures/tradock_mdn_top5_rank5_S-T047.1_model393.pdb
tradock_mdn_bottom5,TraDock/MDN bottom 5,1,mdn_score,False,S-T047.1,308,31,T47_S09.M01,-0.8732096552848816,0.0,0.0217,36.0702,13.4107,incorrect,results/single_target_rank_compare/S-T047.1/structures/tradock_mdn_bottom5_rank1_S-T047.1_model308.pdb
tradock_mdn_bottom5,TraDock/MDN bottom 5,2,mdn_score,False,S-T047.1,374,97,T47_S18.M07,-0.77568519115448,0.125,0.0983,20.233,10.557,incorrect,results/single_target_rank_compare/S-T047.1/structures/tradock_mdn_bottom5_rank2_S-T047.1_model374.pdb
tradock_mdn_bottom5,TraDock/MDN bottom 5,3,mdn_score,False,S-T047.1,391,114,T47_S20.M04,-0.7582027316093445,0.7857,0.7529,2.1238,1.4073,medium,results/single_target_rank_compare/S-T047.1/structures/tradock_mdn_bottom5_rank3_S-T047.1_model391.pdb
tradock_mdn_bottom5,TraDock/MDN bottom 5,4,mdn_score,False,S-T047.1,375,98,T47_S18.M08,-0.7502552270889282,0.1607,0.0913,26.6765,10.2253,incorrect,results/single_target_rank_compare/S-T047.1/structures/tradock_mdn_bottom5_rank4_S-T047.1_model375.pdb
tradock_mdn_bottom5,TraDock/MDN bottom 5,5,mdn_score,False,S-T047.1,311,34,T47_S09.M04,-0.7431976199150085,0.0,0.0189,38.8587,14.163,incorrect,results/single_target_rank_compare/S-T047.1/structures/tradock_mdn_bottom5_rank5_S-T047.1_model311.pdb
original_first5,Original first 5,1,original_index,True,S-T047.1,405,128,T47_S21.M08,-0.6827504634857178,0.8214,0.8133,2.7284,0.9541,high,results/single_target_rank_compare/S-T047.1/structures/original_first5_rank1_S-T047.1_model405.pdb
original_first5,Original first 5,2,original_index,True,S-T047.1,404,127,T47_S21.M07,-0.6751702427864075,0.8393,0.8583,1.7234,0.8082,high,results/single_target_rank_compare/S-T047.1/structures/original_first5_rank2_S-T047.1_model404.pdb
original_first5,Original first 5,3,original_index,True,S-T047.1,403,126,T47_S21.M06,-0.6867073178291321,0.8036,0.7544,3.889,1.143,medium,results/single_target_rank_compare/S-T047.1/structures/original_first5_rank3_S-T047.1_model403.pdb
original_first5,Original first 5,4,original_index,True,S-T047.1,402,125,T47_S21.M05,-0.6909915208816528,0.8036,0.8406,1.4147,0.8772,high,results/single_target_rank_compare/S-T047.1/structures/original_first5_rank4_S-T047.1_model402.pdb
original_first5,Original first 5,5,original_index,True,S-T047.1,401,124,T47_S21.M04,-0.617780864238739,0.8393,0.8349,1.7237,0.9705,high,results/single_target_rank_compare/S-T047.1/structures/original_first5_rank5_S-T047.1_model401.pdb
original_last5,Original last 5,1,original_index,False,S-T047.1,278,1,T47_S01.M01,-0.6582314372062683,0.8214,0.8087,2.6891,0.992,high,results/single_target_rank_compare/S-T047.1/structures/original_last5_rank1_S-T047.1_model278.pdb
original_last5,Original last 5,2,original_index,False,S-T047.1,279,2,T47_S01.M02,-0.6623325347900391,0.75,0.7808,2.7862,1.0066,medium,results/single_target_rank_compare/S-T047.1/structures/original_last5_rank2_S-T047.1_model279.pdb
original_last5,Original last 5,3,original_index,False,S-T047.1,280,3,T47_S01.M03,-0.6780895590782166,0.8036,0.7743,3.3107,1.0981,medium,results/single_target_rank_compare/S-T047.1/structures/original_last5_rank3_S-T047.1_model280.pdb
original_last5,Original last 5,4,original_index,False,S-T047.1,281,4,T47_S01.M04,-0.6703346967697144,0.75,0.79,2.7714,0.9447,high,results/single_target_rank_compare/S-T047.1/structures/original_last5_rank4_S-T047.1_model281.pdb
original_last5,Original last 5,5,original_index,False,S-T047.1,282,5,T47_S01.M05,-0.6694218516349792,0.0536,0.0382,40.8001,10.6866,incorrect,results/single_target_rank_compare/S-T047.1/structures/original_last5_rank5_S-T047.1_model282.pdb
fnat_top5,Fnat top 5,1,fnat,True,S-T047.1,339,62,T47_S13.M02,-0.6449379920959473,0.9286,0.7449,4.1104,1.5132,medium,results/single_target_rank_compare/S-T047.1/structures/fnat_top5_rank1_S-T047.1_model339.pdb
fnat_top5,Fnat top 5,2,fnat,True,S-T047.1,341,64,T47_S13.M04,-0.6945717930793762,0.9286,0.8158,2.115,1.284,medium,results/single_target_rank_compare/S-T047.1/structures/fnat_top5_rank2_S-T047.1_model341.pdb
fnat_top5,Fnat top 5,3,fnat,True,S-T047.1,325,48,T47_S10.M08,-0.6497495770454407,0.8929,0.8583,1.964,0.906,high,results/single_target_rank_compare/S-T047.1/structures/fnat_top5_rank3_S-T047.1_model325.pdb
fnat_top5,Fnat top 5,4,fnat,True,S-T047.1,288,11,T47_S03.M01,-0.649749755859375,0.8929,0.8583,1.964,0.906,high,results/single_target_rank_compare/S-T047.1/structures/fnat_top5_rank4_S-T047.1_model288.pdb
fnat_top5,Fnat top 5,5,fnat,True,S-T047.1,350,73,T47_S14.M03,-0.6534422039985657,0.8929,0.8585,1.9621,0.9051,high,results/single_target_rank_compare/S-T047.1/structures/fnat_top5_rank5_S-T047.1_model350.pdb
fnat_bottom5,Fnat bottom 5,1,fnat,False,S-T047.1,314,37,T47_S09.M07,-0.6641672253608704,0.0,0.0195,38.2844,13.9502,incorrect,results/single_target_rank_compare/S-T047.1/structures/fnat_bottom5_rank1_S-T047.1_model314.pdb
fnat_bottom5,Fnat bottom 5,2,fnat,False,S-T047.1,369,92,T47_S18.M02,-0.6665941476821899,0.0,0.0217,37.3884,11.7642,incorrect,results/single_target_rank_compare/S-T047.1/structures/fnat_bottom5_rank2_S-T047.1_model369.pdb
fnat_bottom5,Fnat bottom 5,3,fnat,False,S-T047.1,313,36,T47_S09.M06,-0.6901944875717163,0.0,0.0191,38.6474,14.0676,incorrect,results/single_target_rank_compare/S-T047.1/structures/fnat_bottom5_rank3_S-T047.1_model313.pdb
fnat_bottom5,Fnat bottom 5,4,fnat,False,S-T047.1,328,51,T47_S11.M01,-0.6901945471763611,0.0,0.0191,38.6474,14.0676,incorrect,results/single_target_rank_compare/S-T047.1/structures/fnat_bottom5_rank4_S-T047.1_model328.pdb
fnat_bottom5,Fnat bottom 5,5,fnat,False,S-T047.1,312,35,T47_S09.M05,-0.7355899214744568,0.0,0.0194,38.3417,13.9697,incorrect,results/single_target_rank_compare/S-T047.1/structures/fnat_bottom5_rank5_S-T047.1_model312.pdb
dockq_top5,DockQ top 5,1,dockq,True,S-T047.1,360,83,T47_S15.M03,-0.6473059058189392,0.8214,0.9076,0.8862,0.4657,high,results/single_target_rank_compare/S-T047.1/structures/dockq_top5_rank1_S-T047.1_model360.pdb
dockq_top5,DockQ top 5,2,dockq,True,S-T047.1,303,26,T47_S05.M06,-0.6914910078048706,0.8929,0.9007,1.2545,0.6777,high,results/single_target_rank_compare/S-T047.1/structures/dockq_top5_rank2_S-T047.1_model303.pdb
dockq_top5,DockQ top 5,3,dockq,True,S-T047.1,354,77,T47_S14.M07,-0.659110426902771,0.8214,0.8992,0.9039,0.5346,high,results/single_target_rank_compare/S-T047.1/structures/dockq_top5_rank3_S-T047.1_model354.pdb
dockq_top5,DockQ top 5,4,dockq,True,S-T047.1,300,23,T47_S05.M03,-0.6717694997787476,0.8929,0.899,1.2416,0.691,high,results/single_target_rank_compare/S-T047.1/structures/dockq_top5_rank4_S-T047.1_model300.pdb
dockq_top5,DockQ top 5,5,dockq,True,S-T047.1,310,33,T47_S09.M03,-0.6913115382194519,0.8214,0.8967,0.8683,0.5566,high,results/single_target_rank_compare/S-T047.1/structures/dockq_top5_rank5_S-T047.1_model310.pdb
dockq_bottom5,DockQ bottom 5,1,dockq,False,S-T047.1,311,34,T47_S09.M04,-0.7431976199150085,0.0,0.0189,38.8587,14.163,incorrect,results/single_target_rank_compare/S-T047.1/structures/dockq_bottom5_rank1_S-T047.1_model311.pdb
dockq_bottom5,DockQ bottom 5,2,dockq,False,S-T047.1,313,36,T47_S09.M06,-0.6901944875717163,0.0,0.0191,38.6474,14.0676,incorrect,results/single_target_rank_compare/S-T047.1/structures/dockq_bottom5_rank2_S-T047.1_model313.pdb
dockq_bottom5,DockQ bottom 5,3,dockq,False,S-T047.1,328,51,T47_S11.M01,-0.6901945471763611,0.0,0.0191,38.6474,14.0676,incorrect,results/single_target_rank_compare/S-T047.1/structures/dockq_bottom5_rank3_S-T047.1_model328.pdb
dockq_bottom5,DockQ bottom 5,4,dockq,False,S-T047.1,317,40,T47_S09.M10,-0.7431835532188416,0.0,0.0191,38.8223,13.8315,incorrect,results/single_target_rank_compare/S-T047.1/structures/dockq_bottom5_rank4_S-T047.1_model317.pdb
dockq_bottom5,DockQ bottom 5,5,dockq,False,S-T047.1,336,59,T47_S11.M09,-0.7431836128234863,0.0,0.0191,38.8223,13.8315,incorrect,results/single_target_rank_compare/S-T047.1/structures/dockq_bottom5_rank5_S-T047.1_model336.pdb
