target_id,identification,round,target,interface,p_id,p_type,p_rank,name,uid,model,e,nclash,threshold,fnat,fnonnat,f1,dockq,lrms,irms,srms,ia,dL,thetaL,nchain,(ligand_coverage/receptor_coverage),fIR_L,fIR_R,fOP_L,fOP_R,mrms_L,mrms_R,classification,main_classification,stars,clashes,low_id,md5
T41.1,T41_S02.M01,19,41,1,S02,S,2,Bates,92,1,0,10,80,0.8305,0.4674,0.6490,0.5976,6.8596,2.0142,2.8976,1978.9,5.56,24.54,0,(103/113),0.9600,1.0000,0.2727,0.2000,1.4386,1.1084,acceptable,acceptable,1,0,0,b0ed23ad4e6bd325dfd45e8e44b0c050
T41.1,T41_S02.M02,19,41,1,S02,S,2,Bates,92,2,0,7,80,0.1186,0.8750,0.1217,0.0947,20.4836,10.8645,11.3065,1412.3,11.02,158.51,0,(103/113),0.6800,0.8333,0.2273,0.1304,1.6927,1.1609,incorrect,incorrect,0,0,0,fd5f7d8d2f3c4bc89c4aae9afd4e447c
T41.1,T41_S02.M03,19,41,1,S02,S,2,Bates,92,3,0,15,80,0.5932,0.5570,0.5072,0.3866,11.4990,2.8804,3.8177,2001.7,9.84,36.86,0,(103/113),0.9200,0.8750,0.2333,0.2500,1.4176,1.2455,acceptable,acceptable,1,0,0,e6d0f81089b1fda22ab490716ea05ea2
T41.1,T41_S02.M04,19,41,1,S02,S,2,Bates,92,4,0,14,80,0.1017,0.9016,0.1000,0.0847,21.6550,10.7739,11.4220,1624.4,13.19,169.11,0,(103/113),0.7200,0.8750,0.1000,0.1250,1.4784,1.1034,incorrect,incorrect,0,0,0,5b2786dba5d1cdbf7e64a9db7b8abbd4
T41.1,T41_S02.M05,19,41,1,S02,S,2,Bates,92,5,0,12,80,0.1017,0.9375,0.0774,0.0653,29.0106,12.0827,12.8909,2680.1,23.73,176.35,0,(103/110),0.9600,0.9167,0.2941,0.3529,1.6231,1.1428,incorrect,incorrect,0,0,0,1edaf9b2cf20eb5e887f4c099cd6dbc0
T41.1,T41_S02.M06,19,41,1,S02,S,2,Bates,92,6,0,10,80,0.6949,0.4744,0.5985,0.5022,8.4173,2.2549,3.1599,1952.6,6.86,29.16,0,(103/110),0.8800,0.8333,0.2667,0.1304,1.1720,1.1518,acceptable,acceptable,1,0,0,b137fbded851cf60aff03cc754c0177f
T41.1,T41_S02.M07,19,41,1,S02,S,2,Bates,92,7,0,11,80,0.1186,0.8704,0.1239,0.0867,22.6029,11.2186,11.7800,1605.9,14.65,167.55,0,(103/113),0.7200,0.7917,0.1000,0.1364,1.2555,1.1186,incorrect,incorrect,0,0,0,abba25172b10c7f097d907303696f498
T41.1,T41_S02.M08,19,41,1,S02,S,2,Bates,92,8,0,12,80,0.0847,0.9412,0.0694,0.0598,28.9913,11.8808,12.4560,2289.4,23.60,164.43,0,(103/113),0.9200,0.8333,0.2069,0.4118,1.4289,1.1862,incorrect,incorrect,0,0,0,904c34009919ad4a51517c83018160e6
T41.1,T41_S02.M09,19,41,1,S02,S,2,Bates,92,9,0,17,80,0.0169,0.9899,0.0126,0.0219,44.6923,12.7037,13.0531,2471.1,42.07,126.94,0,(103/113),0.9200,0.2500,0.3030,0.8125,1.2937,1.0892,incorrect,incorrect,0,0,0,7209ab2d648c5900dda7f74c7d95b78d
T41.1,T41_S02.M10,19,41,1,S02,S,2,Bates,92,10,0,14,80,0.6441,0.4795,0.5757,0.5297,6.8314,2.1012,2.8509,1821.7,6.21,16.10,0,(103/113),0.9200,0.7917,0.0800,0.2963,1.5528,1.1680,acceptable,acceptable,1,0,0,42bc8a03fd8fb9cc3292ce2727dda323
T41.1,T41_S03.M01,19,41,1,S03,S,3,Xiao,205,1,0,97,80,0.4068,0.5789,0.4138,0.4281,6.6934,2.5289,3.3080,1247.3,6.61,0.80,0,(103/110),0.7200,0.6667,0.1818,0.1111,1.0776,0.6137,acceptable,acceptable,1,1,0,34aa5ae1b133415453ac19ce902730d5
T41.1,T41_S03.M02,19,41,1,S03,S,3,Xiao,205,2,0,50,80,0.3729,0.4634,0.4400,0.3544,9.1766,2.7561,3.2532,1112.0,8.69,17.87,0,(103/110),0.6400,0.7083,0.1111,0.0556,0.9291,0.6137,acceptable,acceptable,1,0,0,e640256f95d73145191ad4483131a6f6
T41.1,T41_S03.M03,19,41,1,S03,S,3,Xiao,205,3,0,45,80,0.4237,0.4318,0.4854,0.3878,8.7194,2.5809,3.2553,1145.4,8.12,19.24,0,(103/110),0.5600,0.6250,0.0667,0.1667,1.0709,0.6137,acceptable,acceptable,1,0,0,355c77561b8550a67ff7b1552e5d74a1
T41.1,T41_S03.M04,19,41,1,S03,S,3,Xiao,205,4,0,74,80,0.4407,0.3500,0.5253,0.5238,3.9030,2.2656,3.0896,1181.5,2.04,23.16,0,(103/110),0.7200,0.7083,0.0526,0.0000,0.9221,0.6137,medium,medium,2,0,0,a438203c76ca080741c8b441615032cd
T41.1,T41_S03.M05,19,41,1,S03,S,3,Xiao,205,5,0,83,80,0.6949,0.3492,0.6721,0.6739,4.0906,1.4560,2.5870,1550.3,2.55,18.07,0,(103/110),0.8400,0.8750,0.1923,0.0000,1.0776,0.6137,medium,medium,2,1,0,64328cf1b9ae46a73612c440f2ed19f5
T41.1,T41_S03.M06,19,41,1,S03,S,3,Xiao,205,6,0,44,80,0.4237,0.3243,0.5208,0.4426,6.2442,2.5674,3.4585,1225.2,3.56,35.95,0,(103/110),0.7200,0.6667,0.1000,0.0588,1.0765,0.6137,acceptable,acceptable,1,0,0,b3ff2abd8b81cb57895989ae874046bc
T41.1,T41_S03.M07,19,41,1,S03,S,3,Xiao,205,7,0,71,80,0.3729,0.3889,0.4632,0.4972,3.9899,2.2953,3.1303,1212.2,1.65,25.04,0,(103/110),0.6800,0.6667,0.0556,0.0000,1.0765,0.6137,medium,medium,2,0,0,0a6a5d344a70411a847884ee03e99e9b
T41.1,T41_S03.M08,19,41,1,S03,S,3,Xiao,205,8,0,11,80,0.6271,0.2292,0.6916,0.5694,5.7809,1.8470,2.9832,1445.3,4.56,22.57,0,(103/113),0.8400,0.7917,0.1250,0.0000,1.2766,1.0196,medium,medium,2,0,0,4d1bd57219229bfddee9343579a1ca04
T41.1,T41_S03.M09,19,41,1,S03,S,3,Xiao,205,9,0,93,80,0.7288,0.4028,0.6565,0.7002,4.0688,1.3341,2.4766,1729.7,2.93,15.62,0,(103/110),0.8000,0.9167,0.1304,0.0435,1.0413,0.6137,medium,medium,2,1,0,2cbc2fd25fa08531d6643638eb030e36
T41.1,T41_S03.M10,19,41,1,S03,S,3,Xiao,205,10,0,45,80,0.4915,0.3556,0.5577,0.5303,5.1985,1.9510,2.6704,1277.4,5.00,5.92,0,(103/110),0.7600,0.7917,0.0500,0.0500,1.1371,0.6137,medium,medium,2,0,0,616d7e8ae231f990a14dbb079df31b80
T41.1,T41_S05.M01,19,41,1,S05,S,5,Bonvin,43,1,0,17,80,0.4407,0.6000,0.4194,0.3972,8.8136,2.4732,3.4218,1638.4,6.82,35.03,0,(103/108),0.8400,0.8333,0.1250,0.1667,1.0826,0.8173,acceptable,acceptable,1,0,0,3f391f00aecce627e0888738c8d681a6
T41.1,T41_S05.M02,19,41,1,S05,S,5,Bonvin,43,2,0,16,80,0.5085,0.4643,0.5217,0.4315,8.4926,2.3731,3.2169,1532.7,6.49,34.81,0,(103/108),0.7600,0.7500,0.2083,0.1429,1.2354,0.8022,acceptable,acceptable,1,0,0,cf2c6b0456c9dbf9b593d58fdf5c13e6
T41.1,T41_S05.M03,19,41,1,S05,S,5,Bonvin,43,3,0,15,80,0.4746,0.4615,0.5045,0.4526,7.6717,2.1270,3.0150,1506.7,6.13,29.22,0,(103/108),0.8400,0.7917,0.1600,0.0952,1.1777,0.7861,acceptable,acceptable,1,0,0,b070f1c7a99c3da239a3f08ddc6370f7
T41.1,T41_S05.M04,19,41,1,S05,S,5,Bonvin,43,4,0,10,80,0.4746,0.4167,0.5234,0.3692,10.5930,2.6591,3.5187,1451.9,8.54,40.72,0,(103/108),0.7200,0.7500,0.1818,0.1429,1.2900,0.8297,acceptable,acceptable,1,0,0,a54ce10e53498130aa4d430af82c1248
T41.1,T41_S05.M05,19,41,1,S05,S,5,Bonvin,43,5,0,22,80,0.5763,0.4848,0.5440,0.5050,7.1654,2.0254,2.7548,1899.3,6.57,17.10,0,(103/108),0.9200,0.7917,0.0800,0.2692,1.2382,0.8785,acceptable,acceptable,1,0,0,42bc8a03fd8fb9cc3292ce2727dda323
T41.1,T41_S05.M06,19,41,1,S05,S,5,Bonvin,43,6,0,22,80,0.5763,0.4848,0.5440,0.5050,7.1654,2.0254,2.7548,1899.3,6.57,17.10,0,(103/108),0.9200,0.7917,0.0800,0.2692,1.2382,0.8785,acceptable,acceptable,1,0,0,27c9fa91009253e2e963b1bd96f8f423
T41.1,T41_S05.M07,19,41,1,S05,S,5,Bonvin,43,7,0,24,80,0.5424,0.4667,0.5378,0.4742,7.5526,2.1794,2.9179,1769.5,7.01,16.17,0,(103/108),0.9200,0.8750,0.0417,0.1923,1.2741,0.9484,acceptable,acceptable,1,0,0,624f066b06dab0318c49a7843881d477
T41.1,T41_S05.M08,19,41,1,S05,S,5,Bonvin,43,8,0,19,80,0.3729,0.6207,0.3761,0.3569,8.3495,3.1073,3.6062,1538.3,6.35,37.33,0,(103/108),0.7600,0.8333,0.1739,0.0909,1.0677,0.8629,acceptable,acceptable,1,0,0,539963358eaec45f264e103fe667ddba
T41.1,T41_S05.M09,19,41,1,S05,S,5,Bonvin,43,9,0,16,80,0.3220,0.6275,0.3454,0.3079,10.0115,3.1716,3.7481,1557.5,8.23,38.76,0,(103/108),0.6800,0.8333,0.2917,0.1667,1.1554,0.8506,acceptable,acceptable,1,0,0,d30020b124445bddd19355656210fbe9
T41.1,T41_S05.M10,19,41,1,S05,S,5,Bonvin,43,10,0,19,80,0.6271,0.5432,0.5286,0.4145,10.7524,2.7300,3.7087,1839.3,8.98,38.27,0,(103/108),0.8800,0.7917,0.3125,0.1739,1.2259,1.1672,acceptable,acceptable,1,0,0,3891b4bd85f54d83e776fba06ea304e6
T41.1,T41_S06.M01,19,41,1,S06,S,6,Weng,78,1,0,17,80,0.6271,0.5316,0.5363,0.4142,10.7588,2.7360,3.6999,1836.0,8.99,38.25,0,(103/113),0.8800,0.7917,0.3125,0.2083,1.2205,1.1736,acceptable,acceptable,1,0,0,3891b4bd85f54d83e776fba06ea304e6
