target_id,identification,round,target,interface,p_id,p_type,p_rank,name,uid,model,e,nclash,threshold,fnat,fnonnat,f1,dockq,lrms,irms,srms,ia,dL,thetaL,nchain,(ligand_coverage/receptor_coverage),fIR_L,fIR_R,fOP_L,fOP_R,mrms_L,mrms_R,classification,main_classification,stars,clashes,low_id,md5
T151.1,T151_S05.M01,46,151,1,S05,S,5,Grudinin,234,1,0,4,123,0.0000,1.0000,0.0000,0.0005,233.1846,108.1279,108.8264,2053.9,232.59,65.16,0,(408/408),0.0000,0.0000,1.0000,1.0000,2.6573,2.6727,incorrect,incorrect,0,0,0,c4fb57fef6074f16cbe12cbf1ac64c8d
T151.1,T151_S05.M02,46,151,1,S05,S,5,Grudinin,234,2,0,0,123,0.0000,1.0000,0.0000,0.0008,190.7084,83.2835,84.1460,2754.9,188.68,179.03,0,(408/408),0.0000,0.0000,1.0000,1.0000,2.5221,2.5380,incorrect,incorrect,0,0,0,5a585e991751275a736ed0fe24e88d96
T151.1,T151_S05.M03,46,151,1,S05,S,5,Grudinin,234,3,0,4,123,0.0000,1.0000,0.0000,0.0065,67.1629,24.6627,26.1887,2802.0,64.16,79.30,0,(408/408),0.0208,0.0208,0.9750,0.9767,2.6581,2.6779,incorrect,incorrect,0,0,0,40949e0624079c421b3b5a2610a081b6
T151.1,T151_S05.M04,46,151,1,S05,S,5,Grudinin,234,4,0,6,123,0.0000,1.0000,0.0000,0.0006,208.3926,96.3634,96.9432,2310.1,206.71,114.35,0,(408/408),0.0000,0.0000,1.0000,1.0000,2.6404,2.6536,incorrect,incorrect,0,0,0,77c8b4a67ecba59efedb9cedc93bef01
T151.1,T151_S05.M05,46,151,1,S05,S,5,Grudinin,234,5,0,2,123,0.0000,1.0000,0.0000,0.0005,239.7122,111.5869,112.2959,2072.2,239.19,67.86,0,(408/408),0.0000,0.0000,1.0000,1.0000,2.6564,2.6718,incorrect,incorrect,0,0,0,66f1b0ab6bb070c6b19e92bf4b52d170
T151.1,T151_S05.M06,46,151,1,S05,S,5,Grudinin,234,6,0,5,123,0.0000,1.0000,0.0000,0.0080,61.1392,20.8688,21.5250,2749.7,55.50,165.58,0,(408/408),0.1250,0.1458,0.8235,0.7941,2.5285,2.5452,incorrect,incorrect,0,0,0,a2ab149fd83f711ac74fb76303acf278
T151.1,T151_S05.M07,46,151,1,S05,S,5,Grudinin,234,7,0,2,123,0.0000,1.0000,0.0000,0.0006,222.4369,103.0370,103.7156,2062.8,221.56,80.12,0,(408/408),0.0000,0.0000,1.0000,1.0000,2.6550,2.6704,incorrect,incorrect,0,0,0,14a7d1b81d7381c4e5cd6a38ed776124
T151.1,T151_S05.M08,46,151,1,S05,S,5,Grudinin,234,8,0,6,123,0.0000,1.0000,0.0000,0.0082,59.9552,21.5137,23.0436,1648.1,52.78,118.19,0,(408/408),0.0625,0.0833,0.8636,0.8261,0.6911,0.6710,incorrect,incorrect,0,0,0,3ac72910069103b49ac726c7bd66b011
T151.1,T151_S05.M09,46,151,1,S05,S,5,Grudinin,234,9,0,4,123,0.5083,0.2469,0.6067,0.4620,6.7001,2.5230,3.1689,2513.5,3.21,24.42,0,(408/408),0.7917,0.7917,0.0500,0.0500,0.6882,0.6658,acceptable,acceptable,1,0,0,908c112dbd374725a4f031a71ac2dea3
T151.1,T151_S05.M10,46,151,1,S05,S,5,Grudinin,234,10,0,4,123,0.0000,1.0000,0.0000,0.0008,189.8559,87.2333,87.8286,3319.3,187.99,121.80,0,(408/408),0.0000,0.0000,1.0000,1.0000,2.5200,2.5358,incorrect,incorrect,0,0,0,697127463e223f08cfd33289f9077f7d
T151.1,T151_S06.M01,46,151,1,S06,S,6,Zou,155,1,0,37,123,0.0000,1.0000,0.0000,0.0012,152.1996,65.6440,66.4636,4103.2,150.35,176.41,0,(408/408),0.0000,0.0000,1.0000,1.0000,1.4595,1.4457,incorrect,incorrect,0,0,0,b98988d2c2223021a79ade8f1089f084
T151.1,T151_S06.M02,46,151,1,S06,S,6,Zou,155,2,0,24,123,0.8167,0.1833,0.8170,0.8589,1.4296,0.7800,2.1047,3268.9,0.91,2.97,0,(408/408),0.8750,0.8750,0.0455,0.0667,0.6986,0.7006,high,high,3,0,0,4699fac4d3e31ee5d359f0fba0e4614f
T151.1,T151_S06.M03,46,151,1,S06,S,6,Zou,155,3,0,32,123,0.0000,1.0000,0.0000,0.0033,94.1011,36.3227,37.3339,4190.3,91.31,92.38,0,(408/408),0.0000,0.0000,1.0000,1.0000,1.4413,1.4282,incorrect,incorrect,0,0,0,7e037423a73e1a6111f37a93cdfb7aa7
T151.1,T151_S06.M04,46,151,1,S06,S,6,Zou,155,4,0,12,123,0.0000,1.0000,0.0000,0.0010,164.1404,69.0493,69.9420,1405.9,161.44,130.44,0,(408/408),0.0000,0.0000,1.0000,1.0000,1.4728,1.4521,incorrect,incorrect,0,0,0,c02a316c6a6cece39ec0aff947ba82f4
T151.1,T151_S06.M05,46,151,1,S06,S,6,Zou,155,5,0,8,123,0.0000,1.0000,0.0000,0.0107,51.6384,19.6329,20.5076,4866.1,42.30,124.56,0,(408/408),0.0833,0.0833,0.9545,0.9545,1.5591,1.5603,incorrect,incorrect,0,0,0,1ac33a0468d9af56b9bd06045724b4fb
T151.1,T151_S06.M06,46,151,1,S06,S,6,Zou,155,6,0,24,123,0.0000,1.0000,0.0000,0.0092,57.4943,18.7719,19.5763,2385.6,53.42,133.93,0,(402/402),0.0208,0.0208,0.9722,0.9722,1.4730,1.4511,incorrect,incorrect,0,0,0,7408a2f11a184e374da219f54f313dfd
T151.1,T151_S06.M07,46,151,1,S06,S,6,Zou,155,7,0,33,123,0.0000,1.0000,0.0000,0.0069,66.2720,22.3140,22.9782,4679.5,61.35,176.30,0,(385/385),0.1250,0.1042,0.9167,0.9306,1.1194,0.6758,incorrect,incorrect,0,0,0,83604d5a393e0376b6ae2c44f36bbb1a
T151.1,T151_S06.M08,46,151,1,S06,S,6,Zou,155,8,0,26,123,0.0000,1.0000,0.0000,0.0025,107.5038,41.6172,42.6273,4316.0,102.42,174.48,0,(402/402),0.0000,0.0000,1.0000,1.0000,1.4729,1.4514,incorrect,incorrect,0,0,0,cb38bbf1209839775c9798a2418996e1
T151.1,T151_S06.M09,46,151,1,S06,S,6,Zou,155,9,0,18,123,0.0000,1.0000,0.0000,0.0017,130.4131,54.5585,55.5627,4486.7,128.40,101.69,0,(408/408),0.0000,0.0000,1.0000,1.0000,1.1183,1.1142,incorrect,incorrect,0,0,0,b56f418d49972a4efecae30a64cc2553
T151.1,T151_S06.M10,46,151,1,S06,S,6,Zou,155,10,0,26,123,0.0000,1.0000,0.0000,0.0017,126.8595,56.5554,57.2271,5303.1,125.97,74.52,0,(408/408),0.0625,0.0625,0.9677,0.9663,0.6247,0.6163,incorrect,incorrect,0,0,0,29d7b6384d037340a7ab45b17ae536ad
T151.1,T151_S07.M01,46,151,1,S07,S,7,MDOCKPP,435,1,0,12,123,0.0000,1.0000,0.0000,0.0010,164.1404,69.0493,69.9420,1405.9,161.44,130.44,0,(408/408),0.0000,0.0000,1.0000,1.0000,1.4728,1.4521,incorrect,incorrect,0,0,0,c02a316c6a6cece39ec0aff947ba82f4
T151.1,T151_S07.M02,46,151,1,S07,S,7,MDOCKPP,435,2,0,26,123,0.0000,1.0000,0.0000,0.0017,126.8595,56.5554,57.2272,5303.1,125.97,74.52,0,(408/408),0.0625,0.0625,0.9677,0.9663,0.6247,0.6163,incorrect,incorrect,0,0,0,29d7b6384d037340a7ab45b17ae536ad
T151.1,T151_S07.M03,46,151,1,S07,S,7,MDOCKPP,435,3,0,37,123,0.0000,1.0000,0.0000,0.0012,152.1996,65.6440,66.4637,4103.2,150.35,176.41,0,(408/408),0.0000,0.0000,1.0000,1.0000,1.4595,1.4457,incorrect,incorrect,0,0,0,b98988d2c2223021a79ade8f1089f084
T151.1,T151_S07.M04,46,151,1,S07,S,7,MDOCKPP,435,4,0,24,123,0.8167,0.1833,0.8170,0.8589,1.4296,0.7800,2.1047,3268.9,0.91,2.97,0,(408/408),0.8750,0.8750,0.0455,0.0667,0.6986,0.7006,high,high,3,0,0,4699fac4d3e31ee5d359f0fba0e4614f
T151.1,T151_S07.M05,46,151,1,S07,S,7,MDOCKPP,435,5,0,8,123,0.0000,1.0000,0.0000,0.0107,51.6384,19.6329,20.5076,4866.1,42.30,124.56,0,(408/408),0.0833,0.0833,0.9545,0.9545,1.5591,1.5603,incorrect,incorrect,0,0,0,1ac33a0468d9af56b9bd06045724b4fb
T151.1,T151_S07.M06,46,151,1,S07,S,7,MDOCKPP,435,6,0,33,123,0.0000,1.0000,0.0000,0.0069,66.2720,22.3140,22.9782,4679.5,61.35,176.30,0,(385/385),0.1250,0.1042,0.9167,0.9306,1.1194,0.6758,incorrect,incorrect,0,0,0,83604d5a393e0376b6ae2c44f36bbb1a
T151.1,T151_S07.M07,46,151,1,S07,S,7,MDOCKPP,435,7,0,32,123,0.0000,1.0000,0.0000,0.0033,94.1011,36.3227,37.3339,4190.3,91.31,92.38,0,(408/408),0.0000,0.0000,1.0000,1.0000,1.4413,1.4282,incorrect,incorrect,0,0,0,7e037423a73e1a6111f37a93cdfb7aa7
