target,top1_model_id,top1_mdn_score,top1_fnat,top1_dockq,first_positive_rank,best_fnat_model_id,best_fnat,best_fnat_dockq,best_fnat_mdn_score
S-T024.1,348,-0.638775408,0.0,0.0122,,348,0.0,0.0122,-0.638775408
S-T025.1,340,-0.638113618,0.1731,0.1072,3,376,0.9231,0.8286,-0.641939461
S-T029.1,438,-0.654828608,0.0,0.0109,2,452,0.7959,0.7571,-0.672624111
S-T030.1,473,-0.662801206,0.0,0.0142,,448,0.2143,0.1357,-0.733572304
S-T032.1,401,-0.649094582,0.0,0.0193,34,449,0.4706,0.4577,-0.735454023
S-T035.1,420,-0.67282939,0.0,0.009,,352,0.1538,0.1966,-0.757077098
S-T036.1,340,-0.658437967,0.0462,0.0391,,369,0.1692,0.0967,-0.730919957
S-T037.1,415,-0.632639587,0.0,0.0126,10,444,0.9388,0.9033,-0.705058098
S-T037.2,401,-0.643797636,0.0204,0.1384,8,405,0.6735,0.7031,-0.674075246
S-T038.1,471,-0.66354841,0.0,0.0478,,479,0.1176,0.1023,-0.671035647
S-T039.1,368,-0.665570438,0.0,0.0094,,486,0.0784,0.1276,-0.738334119
S-T040.2,448,-0.646653116,0.0,0.0383,2,511,0.9452,0.899,-0.708653688
S-T053.1,483,-0.640436232,0.1538,0.1189,2,394,0.7692,0.7518,-0.651913106
S-T068.1,335,-1.22627223,0.12,0.1212,,249,0.25,0.1359,-1.39620507
S-T068.2,268,-0.639219403,0.0,0.0242,,299,0.0233,0.0333,-0.735008419
S-T070.1,325,-0.642419994,0.0303,0.0429,,273,0.0909,0.0588,-0.691253006
S-T071.1,323,-0.473249525,0.0,0.0428,,338,0.2979,0.1914,-0.698581159
S-T071.2,258,-0.00206127181,0.0,0.0117,,224,0.1081,0.0463,-0.676376283
S-T071.3,328,-0.553397596,0.0,0.0812,31,303,0.625,0.4911,-0.715862095
S-T073.1,279,0.011123836,0.0,0.0264,,282,0.2941,0.1828,-0.698213339
S-T073.2,327,0.156806663,0.0,0.0247,81,273,0.75,0.2844,-0.739696801
S-T077.1,320,-0.665819407,0.0,0.0068,,318,0.1222,0.0534,-0.782083929
S-T078.1,260,-0.532760382,0.0,0.0243,4,258,0.4464,0.2268,-0.69663167
S-T079.1,318,-0.633517325,0.0,0.0156,2,322,0.7451,0.5941,-0.725780845
S-T085.1,358,-0.693650067,0.0109,0.0145,10,286,0.7927,0.7163,-0.754408002
S-T086.1,282,-0.624910474,0.0,0.0268,12,363,0.5714,0.488,-0.681766808
S-T086.2,282,-0.624729574,0.0,0.0258,10,275,1.0,0.8141,-0.726612985
S-T087.1,257,-1.65980411,0.0458,0.0709,4,268,0.6538,0.6055,-1.74852741
S-T088.1,280,-0.64323169,0.0526,0.1313,,346,0.1875,0.1542,-0.718818188
S-T089.1,279,-1.90619409,0.0,0.0114,5,287,0.7925,0.6801,-2.13796616
S-T093.1,313,-0.656149745,0.0,0.0121,2,287,0.7363,0.6827,-0.72464788
S-T094.1,240,-0.6568591,0.0,0.0195,2,236,0.7083,0.5762,-0.667117357
S-T096.1,381,-0.634471834,0.0182,0.0607,4,386,0.32,0.3634,-0.661311269
S-T097.1,363,-0.635602951,0.0366,0.0418,12,403,0.5488,0.5486,-0.655935585
S-T098.1,327,-0.650482297,0.0,0.045,,350,0.055,0.0362,-0.70731318
S-T099.1,393,-0.662795067,0.0,0.0312,,299,0.0619,0.0702,-0.693023324
S-T100.1,327,-0.668706298,0.0,0.061,,276,0.2807,0.1152,-0.762409329
S-T101.1,392,-0.651474595,0.0,0.0084,,371,0.0495,0.0267,-0.715060353
S-T107.1,366,-0.696263492,0.0169,0.1037,,387,0.0763,0.0815,-0.740216017
S-T110.1,325,-0.647351563,0.026,0.0512,2,347,0.5584,0.5821,-0.692462146
S-T113.1,393,-0.643810987,0.026,0.0662,,361,0.2667,0.282,-0.71529454
S-T116.1,422,-0.645186722,0.2165,0.0825,25,447,0.6495,0.2263,-0.714180827
S-T117.1,399,-1.71064532,0.0,0.0137,3,359,0.7803,0.2777,-1.73536849
S-T117.2,348,0.0055606314,0.0,0.011,,324,0.0566,0.0316,-0.666520476
S-T117.3,258,-0.674180627,0.0,0.0178,31,358,0.811,0.2886,-0.758486569
S-T117.4,343,-1.69335055,0.0,0.0097,155,297,0.3111,0.3238,-1.93300021
S-T120.1,298,-0.648025215,0.0139,0.0468,3,319,0.3611,0.4403,-0.676864743
S-T121.1,486,-0.666999519,0.0,0.0499,21,387,0.386,0.4195,-0.7752496
S-T122.1,2390,-0.664818287,0.0,0.1923,21,2543,0.4146,0.2502,-0.744754136
S-T123.1,2461,-0.654781997,0.0,0.0294,,2552,0.16,0.0762,-0.764045537
S-T124.1,2099,-0.64777261,0.0066,0.0149,,2072,0.0728,0.0279,-0.775909722
S-T125.1,2048,0.0925635546,0.0,0.0263,13,2179,0.7419,0.8124,-0.740638435
S-T125.2,2135,-0.633990526,0.1316,0.3103,2,2195,0.9737,0.8878,-0.677806854
S-T125.3,2146,-1.26767266,0.0,0.0551,,2211,0.2121,0.1463,-1.4037782
S-T125.4,2072,0.218149871,0.0,0.0189,,2140,0.0732,0.1127,-0.763963938
S-T131.1,2302,-1.6961776,0.0,0.0194,125,2275,0.549,0.5695,-1.90867209
S-T132.1,2300,-0.630056083,0.2687,0.2639,11,2373,0.5079,0.5527,-0.670349419
S-T136.3,416,-0.687262297,0.0,0.2657,3,299,0.5778,0.6028,-0.744634271
S-T138.1,1796,-0.674020231,0.0,0.0067,,1884,0.1132,0.0531,-0.74173075
S-T138.2,1807,-0.666432321,0.0,0.0026,,1839,0.209,0.0842,-0.70509547
S-T140.1,1747,-0.671843529,0.0,0.0497,8,1827,0.804,0.7175,-0.770290971
S-T141.1,1797,-0.66943711,0.0284,0.0359,21,1766,0.4779,0.3875,-0.734188497
S-T142.1,1832,-0.655297279,0.0,0.0168,2,1746,0.8095,0.7577,-0.681865692
S-T144.1,1711,-0.738665104,0.122,0.1863,13,1785,0.565,0.5754,-0.850827456
S-T146.2,1864,-0.438953042,0.0,0.0115,,1823,0.2222,0.2157,-0.691723883
S-T146.3,1915,-1.42726493,0.0,0.0199,16,1890,0.8222,0.5842,-1.6623826
S-T151.2,1214,-0.670854807,0.0,0.0074,3,1211,0.6905,0.3769,-0.79983896
S-T151.3,1403,-0.630091906,0.0,0.0031,4,1420,0.5349,0.2361,-0.726216853
S-T151.4,1332,0.476501703,0.0,0.0074,,1315,0.0526,0.0908,-0.706181169
S-T151.5,1252,-0.23536472,0.0,0.0169,,1305,0.05,0.0421,-0.730077267
S-T152.1,1990,-0.672701001,0.0,0.0248,2,1942,0.7857,0.8578,-0.747317135
S-T154.1,2071,-0.680678368,0.0,0.0212,,2087,0.1842,0.3151,-0.757855177
S-T159.1,1063,-0.650206029,0.2525,0.3572,3,1068,0.7647,0.7474,-0.707734227
S-T159.2,820,-0.664928973,0.0222,0.0403,,753,0.0833,0.0531,-0.694440365
S-T159.3,811,-0.660618663,0.0,0.0024,,835,0.019,0.0127,-0.699808002
S-T159.4,452,-0.664946079,0.0,0.0134,,490,0.0213,0.0412,-0.704340756
S-T159.5,464,-0.64371419,0.0857,0.0358,,498,0.1429,0.0548,-0.688171864
S-T159.6,827,-0.68734324,0.2821,0.3596,3,749,0.8462,0.6579,-0.721796691
S-T159.7,1009,-0.655326009,0.1562,0.3741,6,927,0.6875,0.6544,-0.816487491
S-T165.1,1385,0.0221449863,0.0,0.0018,,1333,0.0484,0.0879,-0.747332096
S-T169.1,1624,-0.643108189,0.0098,0.0811,,1512,0.0686,0.1601,-0.684193313
S-T176.1,1480,-0.648109317,0.0,0.0484,32,1641,0.6786,0.4281,-0.712568104
S-T180.1,985,-0.654011965,0.0291,0.0772,13,988,0.4655,0.422,-0.681200266
S-T180.2,907,-0.654958487,0.0,0.0178,2,893,0.525,0.3652,-0.729458749
