target,mdn_rank,model_id,identification,mdn_score,fnat,dockq,classification,n_interface_pairs,score_reason,is_success_fnat_gt_0.3,first_positive_rank_in_target
S-T024.1,1,348,T24_S03.M03,-0.638775408,0.0,0.0122,incorrect,7840,ok,0,
S-T024.1,2,338,T24_S02.M03,-0.647583306,0.0,0.0317,incorrect,7087,ok,0,
S-T024.1,3,337,T24_S02.M02,-0.650241733,0.0,0.0122,incorrect,7777,ok,0,
S-T024.1,4,351,T24_S03.M06,-0.672127008,0.0,0.0116,incorrect,6032,ok,0,
S-T024.1,5,343,T24_S02.M08,-0.672703862,0.0,0.0125,incorrect,7208,ok,0,
S-T025.1,1,340,T25_S01.M04,-0.638113618,0.1731,0.1072,incorrect,11120,ok,0,3
S-T025.1,2,374,T25_S05.M08,-0.641531944,0.2308,0.2546,acceptable,10559,ok,0,3
S-T025.1,3,376,T25_S05.M10,-0.641939461,0.9231,0.8286,medium,10344,ok,1,3
S-T025.1,4,375,T25_S05.M09,-0.648916721,0.8462,0.7381,medium,10272,ok,1,3
S-T025.1,5,346,T25_S01.M10,-0.648918211,0.8462,0.7381,medium,10272,ok,1,3
S-T029.1,1,438,T29_S08.M02,-0.654828608,0.0,0.0109,incorrect,7181,ok,0,2
S-T029.1,2,453,T29_S09.M07,-0.661067247,0.6327,0.6298,medium,10660,ok,1,2
S-T029.1,3,416,T29_S04.M10,-0.662794948,0.3077,0.2821,acceptable,8761,ok,1,2
S-T029.1,4,441,T29_S08.M05,-0.66648072,0.0,0.0248,incorrect,3500,ok,0,2
S-T029.1,5,447,T29_S09.M01,-0.667807758,0.4082,0.4423,acceptable,11926,ok,1,2
S-T030.1,1,473,T30_S21.M02,-0.662801206,0.0,0.0142,incorrect,5449,ok,0,
S-T030.1,2,416,T30_S11.M06,-0.667157173,0.0,0.0068,incorrect,6042,ok,0,
S-T030.1,3,449,T30_S16.M08,-0.675896704,0.119,0.0973,incorrect,6752,ok,0,
S-T030.1,4,450,T30_S16.M09,-0.676095068,0.0714,0.0907,incorrect,6737,ok,0,
S-T030.1,5,476,T30_S21.M05,-0.679690242,0.0227,0.061,incorrect,7586,ok,0,
S-T032.1,1,401,T32_S08.M07,-0.649094582,0.0,0.0193,incorrect,9007,ok,0,34
S-T032.1,2,442,T32_S14.M08,-0.662898004,0.0353,0.0292,incorrect,9153,ok,0,34
S-T032.1,3,443,T32_S14.M09,-0.662898004,0.0353,0.0292,incorrect,9153,ok,0,34
S-T032.1,4,456,T32_S18.M02,-0.665237427,0.1176,0.0654,incorrect,9843,ok,0,34
S-T032.1,5,392,T32_S06.M08,-0.669553459,0.1412,0.0764,incorrect,10599,ok,0,34
S-T035.1,1,420,T35_S14.M10,-0.67282939,0.0,0.009,incorrect,13432,ok,0,
S-T035.1,2,372,T35_S08.M02,-0.674794793,0.0,0.0106,incorrect,7738,ok,0,
