target,top1_success,top1_model,top1_mdn,top1_fnat,top1_dockq,top1_interface,top1_close,top1_clash,first_good_rank,first_good_model,first_good_mdn,first_good_fnat,first_good_dockq,first_good_interface,first_good_close,first_good_clash,best_fnat_model,best_fnat,best_fnat_dockq,best_fnat_rank,n_success
S-T024.1,False,348,-0.6387753486633301,0.0,0.0122,7840.0,1105.0,23.0,0,,,,,,,,348,0.0,0.0122,1,0
S-T025.1,False,340,-0.6381136178970337,0.1731,0.1072,11120.0,1701.0,34.0,3,376,-0.6419395208358765,0.9231,0.8286,10344.0,1435.0,27.0,376,0.9231,0.8286,3,20
S-T026.1,True,393,-0.6581473350524902,0.5054,0.6096,9842.0,1557.0,42.0,1,393,-0.6581473350524902,0.5054,0.6096,9842.0,1557.0,42.0,363,0.5484,0.7067,30,14
S-T029.1,False,438,-0.6548284888267517,0.0,0.0109,7181.0,943.0,13.0,2,453,-0.6610672473907471,0.6327,0.6298,10660.0,1666.0,44.0,452,0.7959,0.7571,7,27
S-T030.1,False,473,-0.6628010272979736,0.0,0.0142,5449.0,800.0,20.0,0,,,,,,,,448,0.2143,0.1357,69,0
S-T032.1,False,401,-0.6490945816040039,0.0,0.0193,9007.0,1265.0,33.0,34,447,-0.6961944103240967,0.3412,0.2817,6793.0,938.0,18.0,449,0.4706,0.4577,93,2
S-T035.1,False,420,-0.6728293299674988,0.0,0.009,13432.0,2040.0,49.0,0,,,,,,,,352,0.1538,0.1966,74,0
S-T036.1,False,340,-0.6584379076957703,0.0462,0.0391,11453.0,1702.0,47.0,0,,,,,,,,369,0.1692,0.0967,42,0
S-T037.1,False,415,-0.6326394081115723,0.0,0.0126,5715.0,800.0,20.0,10,446,-0.6724482774734497,0.7959,0.6757,5932.0,823.0,20.0,444,0.9388,0.9033,54,22
S-T037.2,False,401,-0.6437975764274597,0.0204,0.1384,6096.0,922.0,14.0,8,402,-0.6696795225143433,0.6122,0.5449,5489.0,843.0,31.0,405,0.6735,0.7031,14,9
S-T038.1,False,471,-0.6635483503341675,0.0,0.0478,9358.0,1323.0,34.0,0,,,,,,,,479,0.1176,0.1023,2,0
S-T039.1,False,368,-0.6655703783035278,0.0,0.0094,10300.0,1609.0,41.0,0,,,,,,,,486,0.0784,0.1276,81,0
S-T040.1,True,378,-1.4313490390777588,0.8594,0.7056,34549.0,7973.0,873.0,1,378,-1.4313490390777588,0.8594,0.7056,34549.0,7973.0,873.0,381,0.9219,0.8416,36,59
S-T040.2,False,448,-0.6466529965400696,0.0,0.0383,9930.0,1390.0,29.0,2,504,-0.6478654742240906,0.3684,0.2113,7910.0,1099.0,22.0,511,0.9452,0.899,84,44
S-T041.1,True,385,-0.6225258708000183,0.5932,0.4472,8811.0,1398.0,36.0,1,385,-0.6225258708000183,0.5932,0.4472,8811.0,1398.0,36.0,376,0.9492,0.9255,63,73
S-T046.1,True,503,-0.6548780202865601,0.4203,0.2212,15046.0,2139.0,60.0,1,503,-0.6548780202865601,0.4203,0.2212,15046.0,2139.0,60.0,453,0.5362,0.3627,11,27
S-T047.1,True,401,-0.617780864238739,0.8393,0.8349,8141.0,1272.0,31.0,1,401,-0.617780864238739,0.8393,0.8349,8141.0,1272.0,31.0,339,0.9286,0.7449,17,101
S-T050.1,True,411,-0.6992912292480469,0.6735,0.5834,25889.0,3694.0,65.0,1,411,-0.6992912292480469,0.6735,0.5834,25889.0,3694.0,65.0,428,0.7347,0.5264,90,26
S-T053.1,False,483,-0.6404362320899963,0.1538,0.1189,11952.0,2046.0,60.0,2,453,-0.6428931355476379,0.4231,0.4973,10600.0,1633.0,33.0,394,0.7692,0.7518,4,25
S-T054.1,True,480,-0.651255190372467,0.32,0.1639,8027.0,1163.0,28.0,1,480,-0.651255190372467,0.32,0.1639,8027.0,1163.0,28.0,480,0.32,0.1639,1,1
S-T068.1,False,335,-1.2262722253799438,0.12,0.1212,29260.0,6446.0,690.0,0,,,,,,,,249,0.25,0.1359,67,0
S-T068.2,False,268,-0.639219343662262,0.0,0.0242,13065.0,1997.0,45.0,0,,,,,,,,299,0.0233,0.0333,74,0
S-T069.1,True,375,-0.6623514890670776,0.5075,0.5509,18231.0,2627.0,72.0,1,375,-0.6623514890670776,0.5075,0.5509,18231.0,2627.0,72.0,277,0.6482,0.5979,54,74
S-T070.1,False,325,-0.6424198150634766,0.0303,0.0429,9840.0,1387.0,24.0,0,,,,,,,,273,0.0909,0.0588,46,0
S-T070.2,True,351,-0.6343721151351929,0.3333,0.4157,5841.0,830.0,20.0,1,351,-0.6343721151351929,0.3333,0.4157,5841.0,830.0,20.0,252,0.75,0.6272,28,25
S-T071.1,False,323,-0.47324851155281067,0.0,0.0428,85.0,0.0,0.0,0,,,,,,,,338,0.2979,0.1914,35,0
S-T071.2,False,258,-0.0020607791375368834,0.0,0.0117,15.0,0.0,0.0,0,,,,,,,,224,0.1081,0.0463,10,0
S-T071.3,False,328,-0.5533974766731262,0.0,0.0812,127.0,0.0,0.0,31,244,-0.7033372521400452,0.6,0.4811,5630.0,880.0,21.0,303,0.625,0.4911,52,5
S-T072.1,True,268,-0.6316573023796082,0.4211,0.2632,17266.0,2701.0,71.0,1,268,-0.6316573023796082,0.4211,0.2632,17266.0,2701.0,71.0,310,0.6316,0.3983,33,10
S-T073.1,False,279,0.011123618111014366,0.0,0.0264,3.0,0.0,0.0,0,,,,,,,,282,0.2941,0.1828,26,0
S-T073.2,False,327,0.15680700540542603,0.0,0.0247,7.0,0.0,0.0,81,273,-0.7396965026855469,0.75,0.2844,8612.0,1225.0,38.0,273,0.75,0.2844,81,3
S-T075.1,True,260,-0.6536068916320801,0.411,0.3237,11177.0,1609.0,40.0,1,260,-0.6536068916320801,0.411,0.3237,11177.0,1609.0,40.0,366,0.5479,0.5566,52,33
S-T077.1,False,320,-0.6658192276954651,0.0,0.0068,10208.0,1488.0,34.0,0,,,,,,,,318,0.1222,0.0534,105,0
S-T078.1,False,260,-0.5327602624893188,0.0,0.0243,527.0,1.0,0.0,4,331,-0.6743593811988831,0.3661,0.205,18886.0,2913.0,56.0,258,0.4464,0.2268,20,42
S-T079.1,False,318,-0.6335172653198242,0.0,0.0156,7316.0,1124.0,19.0,2,266,-0.6528814435005188,0.6346,0.5884,7180.0,1133.0,28.0,322,0.7451,0.5941,66,6
S-T080.1,True,375,-0.6572083830833435,0.6875,0.6871,22990.0,3542.0,85.0,1,375,-0.6572083830833435,0.6875,0.6871,22990.0,3542.0,85.0,271,0.8125,0.7872,19,64
S-T081.1,True,247,-0.6299588084220886,0.3125,0.3453,5587.0,875.0,33.0,1,247,-0.6299588084220886,0.3125,0.3453,5587.0,875.0,33.0,243,0.7917,0.685,42,41
