target_index,target_total,target,model_order,pdb_model_id,csv_model,pdb_id,score,predicted_fnat,dockq,fnat,lrms,irms,classification,identification
1,113,S-T024.1,1,336,1,S-T024.1_model_0,0.427,0.427,0.0113,0.0,57.0408,13.516,incorrect,T24_S02.M01
1,113,S-T024.1,2,337,2,S-T024.1_model_1,0.85,0.85,0.0122,0.0,54.4885,13.1318,incorrect,T24_S02.M02
1,113,S-T024.1,11,346,1,S-T024.1_model_10,0.858,0.858,0.013,0.0,52.4615,12.8527,incorrect,T24_S03.M01
1,113,S-T024.1,12,347,2,S-T024.1_model_11,0.835,0.835,0.017,0.0,43.3684,12.5418,incorrect,T24_S03.M02
1,113,S-T024.1,13,348,3,S-T024.1_model_12,0.919,0.919,0.0122,0.0,54.4885,13.1318,incorrect,T24_S03.M03
1,113,S-T024.1,14,349,4,S-T024.1_model_13,1.197,1.197,0.0128,0.0,52.0082,13.4251,incorrect,T24_S03.M04
1,113,S-T024.1,15,350,5,S-T024.1_model_14,1.049,1.049,0.0115,0.0,56.3896,13.3721,incorrect,T24_S03.M05
1,113,S-T024.1,16,351,6,S-T024.1_model_15,0.907,0.907,0.0116,0.0,53.6139,14.7922,incorrect,T24_S03.M06
1,113,S-T024.1,17,352,7,S-T024.1_model_16,1.091,1.091,0.0106,0.0,54.9433,16.3669,incorrect,T24_S03.M07
1,113,S-T024.1,18,353,8,S-T024.1_model_17,0.705,0.705,0.0101,0.0,57.2156,15.9666,incorrect,T24_S03.M08
1,113,S-T024.1,19,354,9,S-T024.1_model_18,1.214,1.214,0.0113,0.0,57.0408,13.516,incorrect,T24_S03.M09
1,113,S-T024.1,20,355,10,S-T024.1_model_19,0.541,0.541,0.0105,0.0,56.1795,15.6133,incorrect,T24_S03.M10
1,113,S-T024.1,3,338,3,S-T024.1_model_2,1.126,1.126,0.0317,0.0,31.7146,8.8186,incorrect,T24_S02.M03
1,113,S-T024.1,4,339,4,S-T024.1_model_3,0.983,0.983,0.017,0.0,43.3683,12.5418,incorrect,T24_S02.M04
1,113,S-T024.1,5,340,5,S-T024.1_model_4,0.721,0.721,0.0101,0.0,57.2156,15.9666,incorrect,T24_S02.M05
1,113,S-T024.1,6,341,6,S-T024.1_model_5,1.062,1.062,0.0116,0.0,53.6139,14.7922,incorrect,T24_S02.M06
1,113,S-T024.1,7,342,7,S-T024.1_model_6,0.779,0.779,0.0107,0.0,57.5073,14.3245,incorrect,T24_S02.M07
