metric,denominator_set,numerator,denominator,rate
success_fnat03@1,all_targets,31,113,0.2743362831858407
success_fnat03@2,all_targets,35,113,0.30973451327433627
success_fnat03@5,all_targets,46,113,0.40707964601769914
success_fnat03@10,all_targets,56,113,0.49557522123893805
success_fnat03@20,all_targets,61,113,0.5398230088495575
success_fnat03@100,all_targets,74,113,0.6548672566371682
success_fnat03@1,positive_targets,31,76,0.40789473684210525
success_fnat03@2,positive_targets,35,76,0.4605263157894737
success_fnat03@5,positive_targets,46,76,0.6052631578947368
success_fnat03@10,positive_targets,56,76,0.7368421052631579
success_fnat03@20,positive_targets,61,76,0.8026315789473685
success_fnat03@100,positive_targets,74,76,0.9736842105263158
success_dockq023@1,all_targets,31,113,0.2743362831858407
success_dockq023@2,all_targets,37,113,0.3274336283185841
success_dockq023@5,all_targets,46,113,0.40707964601769914
success_dockq023@10,all_targets,55,113,0.48672566371681414
success_dockq023@20,all_targets,60,113,0.5309734513274337
success_dockq023@100,all_targets,76,113,0.672566371681416
success_dockq023@1,positive_targets,31,78,0.3974358974358974
success_dockq023@2,positive_targets,37,78,0.47435897435897434
success_dockq023@5,positive_targets,46,78,0.5897435897435898
success_dockq023@10,positive_targets,55,78,0.7051282051282052
success_dockq023@20,positive_targets,60,78,0.7692307692307693
success_dockq023@100,positive_targets,76,78,0.9743589743589743
