target,n_models,top1_score,top1_model_order,top1_pdb_model_id,top1_identification,top1_fnat,top1_dockq,best_fnat,best_dockq,n_fnat03,n_dockq023,success_fnat03@1,success_fnat03@2,success_fnat03@5,success_fnat03@10,success_fnat03@20,success_fnat03@100,success_dockq023@1,success_dockq023@2,success_dockq023@5,success_dockq023@10,success_dockq023@20,success_dockq023@100
S-T024.1,20,1.214,19,354,T24_S03.M09,0.0,0.0113,0.0,0.0317,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T025.1,60,1.982,41,377,T25_S06.M01,0.0962,0.0586,0.9231,0.8286,20,22,0,0,0,1,1,1,0,0,0,1,1,1
S-T026.1,65,1.939,13,364,T26_S02.M03,0.5484,0.7098,0.5484,0.7634,14,35,1,1,1,1,1,1,1,1,1,1,1,1
S-T029.1,145,2.577,123,504,T29_S16.M08,0.0,0.0055,0.7959,0.7768,27,28,0,0,0,0,0,1,0,0,0,0,0,1
S-T030.1,131,2.436,111,461,T30_S18.M10,0.0,0.0158,0.2143,0.1457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T032.1,120,1.909,59,413,T32_S11.M09,0.0,0.0338,0.4706,0.4577,2,2,0,0,0,0,0,1,0,0,0,0,0,1
S-T035.1,101,1.654,3,342,T35_S01.M03,0.0,0.009,0.1538,0.1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T036.1,80,2.345,50,369,T36_S13.M10,0.1692,0.0967,0.1692,0.0967,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T037.1,110,2.815,90,480,T37_S17.M10,0.0,0.0427,0.9388,0.9033,22,26,0,0,0,1,1,1,0,1,1,1,1,1
S-T037.2,110,2.815,90,480,T37_S17.M10,0.0,0.0383,0.6735,0.7031,9,11,0,0,0,1,1,1,0,0,0,1,1,1
S-T038.1,100,1.853,34,433,T38_S07.M04,0.0,0.0141,0.1176,0.1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T039.1,130,2.144,105,471,T39_S16.M05,0.0588,0.0485,0.0784,0.1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T040.1,150,2.177,114,482,T40_S17.M04,0.0156,0.0861,0.9219,0.9315,59,59,0,0,1,1,1,1,0,0,1,1,1,1
S-T040.2,150,2.182,114,482,T40_S17.M04,0.0,0.0717,0.9452,0.9398,44,43,0,0,0,1,1,1,0,0,0,1,1,1
S-T041.1,130,1.764,36,363,T41_S06.M06,0.1525,0.1493,0.9492,0.9255,73,73,0,0,1,1,1,1,0,0,1,1,1,1
S-T046.1,160,3.939,61,448,T46_S09.M01,0.0,0.017,0.5362,0.39,27,22,0,0,1,1,1,1,0,0,1,1,1,1
S-T047.1,128,1.729,62,339,T47_S13.M02,0.9286,0.7449,0.9286,0.9076,101,101,1,1,1,1,1,1,1,1,1,1,1,1
S-T050.1,140,2.085,37,394,T50_S08.M07,0.2653,0.262,0.7347,0.6504,26,35,0,0,1,1,1,1,1,1,1,1,1,1
S-T053.1,130,2.245,23,407,T53_S05.M03,0.1154,0.1692,0.7692,0.7518,25,40,0,0,0,0,1,1,0,0,0,1,1,1
S-T054.1,130,2.056,94,471,T54_S14.M04,0.0,0.0391,0.32,0.2074,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T068.1,120,3.64,23,244,T68_S08.M03,0.0,0.0256,0.25,0.1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T068.2,120,3.643,23,244,T68_S08.M03,0.0,0.0198,0.0233,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T069.1,132,2.623,51,307,T69_S17.M01,0.4874,0.5076,0.6482,0.6052,74,82,1,1,1,1,1,1,1,1,1,1,1,1
S-T070.1,130,2.119,49,270,T70_S14.M09,0.0,0.0283,0.0909,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T070.2,130,1.756,16,237,T70_S07.M06,0.0,0.077,0.75,0.667,25,27,0,0,1,1,1,1,0,0,1,1,1,1
S-T071.1,131,2.087,106,319,T71_S24.M06,0.0893,0.0577,0.2979,0.1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T071.2,131,2.128,126,339,T71_S32.M05,0.0,0.0139,0.1081,0.0617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T071.3,131,1.965,66,279,T71_S19.M06,0.0,0.0116,0.625,0.4911,5,6,0,0,0,1,1,1,0,0,0,1,1,1
S-T072.1,130,4.215,51,285,T72_S17.M01,0.0,0.0234,0.6316,0.3983,10,10,0,0,0,0,1,1,0,0,0,0,1,1
S-T073.1,110,1.97,16,237,T73_S07.M06,0.0,0.0218,0.2941,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T073.2,110,1.736,19,240,T73_S07.M09,0.0,0.01,0.75,0.2844,3,3,0,0,0,0,0,1,0,0,0,0,0,1
S-T075.1,120,2.16,101,354,T75_S24.M01,0.5479,0.572,0.5479,0.6021,33,37,1,1,1,1,1,1,1,1,1,1,1,1
S-T077.1,120,2.206,4,233,T77_S01.M04,0.0,0.0265,0.1222,0.0534,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T078.1,110,2.278,5,234,T78_S01.M05,0.375,0.1927,0.4464,0.2663,42,1,1,1,1,1,1,1,0,0,0,0,0,1
S-T079.1,120,1.809,57,299,T79_S17.M07,0.0,0.0242,0.7451,0.5941,6,9,0,0,0,0,0,1,0,0,0,0,0,1
S-T080.1,120,1.865,2,266,T80_S01.M02,0.6736,0.5962,0.8125,0.7872,64,65,1,1,1,1,1,1,1,1,1,1,1,1
S-T081.1,110,2.777,89,296,T81_S23.M09,0.4655,0.3892,0.7917,0.7057,41,53,1,1,1,1,1,1,1,1,1,1,1,1
S-T085.1,120,6.665,1,242,T85_S01.M01,0.6526,0.5845,0.7927,0.779,103,103,1,1,1,1,1,1,1,1,1,1,1,1
S-T086.1,120,2.491,42,293,T86_S14.M02,0.0,0.0626,0.5714,0.488,4,6,0,1,1,1,1,1,0,1,1,1,1,1
S-T086.2,120,2.491,42,293,T86_S14.M02,0.0,0.019,1.0,0.8141,9,6,0,0,0,0,0,1,0,0,0,0,0,1
S-T087.1,120,2.451,31,262,T87_S12.M01,0.5673,0.4682,0.6538,0.615,82,87,1,1,1,1,1,1,1,1,1,1,1,1
S-T088.1,130,2.08,9,270,T88_S01.M09,0.0175,0.0492,0.1875,0.1542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T089.1,110,1.672,102,313,T89_S31.M02,0.0,0.0058,0.7925,0.6801,51,50,0,0,0,0,0,1,0,0,0,0,0,1
S-T090.1,110,1.999,32,253,T90_S12.M02,0.5924,0.6031,0.7516,0.6298,54,57,1,1,1,1,1,1,1,1,1,1,1,1
S-T091.1,110,3.079,48,290,T91_S17.M08,0.4659,0.5645,0.7955,0.6325,88,91,1,1,1,1,1,1,1,1,1,1,1,1
S-T092.1,110,2.063,43,268,T92_S17.M03,0.0,0.0088,0.5203,0.5252,63,72,0,1,1,1,1,1,0,1,1,1,1,1
