target,score,dockq,irmsd,crmsd,classification,success,pred_lig
2GTP,-0.632846,0.015000,16.158089,18.649054,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/2GTP/2GTP_hdock_1_id.pdb
2HRK,-0.645660,0.991000,0.210327,0.227631,high,1,/root/PPCBench/results/DB5/hdock_1/2HRK/2HRK_hdock_1_id.pdb
2O8V,-0.651979,0.976000,0.261096,0.399720,high,1,/root/PPCBench/results/DB5/hdock_1/2O8V/2O8V_hdock_1_id.pdb
1Z0K,-0.652317,0.988000,0.232127,0.249148,high,1,/root/PPCBench/results/DB5/hdock_1/1Z0K/1Z0K_hdock_1_id.pdb
1XU1,-0.652532,0.988000,0.239106,0.176790,high,1,/root/PPCBench/results/DB5/hdock_1/1XU1/1XU1_hdock_1_id.pdb
1EFN,-0.653354,0.981000,0.298253,0.361053,high,1,/root/PPCBench/results/DB5/hdock_1/1EFN/1EFN_hdock_1_id.pdb
1M27,-0.653632,0.014000,15.370935,16.498348,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/1M27/1M27_hdock_1_id.pdb
3A4S,-0.654454,0.156000,6.904034,7.368887,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/3A4S/3A4S_hdock_1_id.pdb
2OOB,-0.655330,0.076000,9.199056,10.187275,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/2OOB/2OOB_hdock_1_id.pdb
3FN1,-0.656017,0.982000,0.310777,0.258389,high,1,/root/PPCBench/results/DB5/hdock_1/3FN1/3FN1_hdock_1_id.pdb
1MQ8,-0.659550,0.012000,12.939420,16.570004,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/1MQ8/1MQ8_hdock_1_id.pdb
1WDW,-0.659826,0.980000,0.279608,0.275096,high,1,/root/PPCBench/results/DB5/hdock_1/1WDW/1WDW_hdock_1_id.pdb
1E6E,-0.666542,0.968000,0.323136,0.291438,high,1,/root/PPCBench/results/DB5/hdock_1/1E6E/1E6E_hdock_1_id.pdb
1H9D,-0.668505,0.988000,0.162845,0.247372,high,1,/root/PPCBench/results/DB5/hdock_1/1H9D/1H9D_hdock_1_id.pdb
4DN4,-0.670968,0.981000,0.319523,0.246962,high,1,/root/PPCBench/results/DB5/hdock_1/4DN4/4DN4_hdock_1_id.pdb
1HCF,-0.671912,0.971000,0.339867,0.381904,high,1,/root/PPCBench/results/DB5/hdock_1/1HCF/1HCF_hdock_1_id.pdb
1GHQ,-0.672606,0.011000,12.641092,19.477068,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/1GHQ/1GHQ_hdock_1_id.pdb
1AY7,-0.673952,0.971000,0.186715,0.458471,high,1,/root/PPCBench/results/DB5/hdock_1/1AY7/1AY7_hdock_1_id.pdb
1JK9,-0.676698,0.983000,0.202935,0.260212,high,1,/root/PPCBench/results/DB5/hdock_1/1JK9/1JK9_hdock_1_id.pdb
4POU,-0.677225,0.996000,0.128110,0.158653,high,1,/root/PPCBench/results/DB5/hdock_1/4POU/4POU_hdock_1_id.pdb
1FQ1,-0.678677,0.966000,0.282545,0.395251,high,1,/root/PPCBench/results/DB5/hdock_1/1FQ1/1FQ1_hdock_1_id.pdb
3AAD,-0.679020,0.531000,2.818973,2.913350,medium,1,/root/PPCBench/results/DB5/hdock_1/3AAD/3AAD_hdock_1_id.pdb
1J2J,-0.679146,0.974000,0.338201,0.338039,high,1,/root/PPCBench/results/DB5/hdock_1/1J2J/1J2J_hdock_1_id.pdb
2A5T,-0.679163,0.993000,0.198706,0.199755,high,1,/root/PPCBench/results/DB5/hdock_1/2A5T/2A5T_hdock_1_id.pdb
7CEI,-0.679362,0.980000,0.257021,0.302961,high,1,/root/PPCBench/results/DB5/hdock_1/7CEI/7CEI_hdock_1_id.pdb
2J7P,-0.679918,0.992000,0.166914,0.187699,high,1,/root/PPCBench/results/DB5/hdock_1/2J7P/2J7P_hdock_1_id.pdb
3CPH,-0.681057,0.984000,0.290799,0.339211,high,1,/root/PPCBench/results/DB5/hdock_1/3CPH/3CPH_hdock_1_id.pdb
1A2K,-0.681192,0.010000,13.991611,21.214817,unacceptable,0,/root/PPCBench/results/DB5/hdock_1/1A2K/1A2K_hdock_1_id.pdb
