metric,group,rank_in_group,target,model_id,mdn_score,fnat,dockq,classification,rec_chain,lig_chain,extracted_pdb
mdn_score,top5,1,S-T047.1,401,-0.617780864238739,0.8393,0.8349,high,A,B,results/tradock_top1_success_structure_montages/structures/S-T047.1_model401_tradock_top1_success.pdb
mdn_score,top5,2,S-T153.1,2106,-0.6218581199645996,0.7556,0.5854,medium,A,B,results/tradock_top1_success_structure_montages/structures/S-T153.1_model2106_tradock_top1_success.pdb
mdn_score,top5,3,S-T041.1,385,-0.6225258708000183,0.5932,0.4472,acceptable,A,B,results/tradock_top1_success_structure_montages/structures/S-T041.1_model385_tradock_top1_success.pdb
mdn_score,top5,4,S-T133.1,2600,-0.6229316592216492,0.3208,0.3221,acceptable,A,D,results/tradock_top1_success_structure_montages/structures/S-T133.1_model2600_tradock_top1_success.pdb
mdn_score,top5,5,S-T081.1,247,-0.6299588084220886,0.3125,0.3453,acceptable,A,C,results/tradock_top1_success_structure_montages/structures/S-T081.1_model247_tradock_top1_success.pdb
mdn_score,bottom5,1,S-T158.1,1426,-1.7568120956420898,0.5455,0.6116,medium,A,A,results/tradock_top1_success_structure_montages/structures/S-T158.1_model1426_tradock_top1_success.pdb
mdn_score,bottom5,2,S-T146.1,1911,-1.4637705087661743,0.7419,0.3813,incorrect,A,A,results/tradock_top1_success_structure_montages/structures/S-T146.1_model1911_tradock_top1_success.pdb
mdn_score,bottom5,3,S-T040.1,378,-1.4313490390777588,0.8594,0.7056,medium,A,A,results/tradock_top1_success_structure_montages/structures/S-T040.1_model378_tradock_top1_success.pdb
mdn_score,bottom5,4,S-T136.1,444,-0.7227687239646912,0.6006,0.6555,medium,G,B,results/tradock_top1_success_structure_montages/structures/S-T136.1_model444_tradock_top1_success.pdb
mdn_score,bottom5,5,S-T136.2,329,-0.708746075630188,0.4118,0.5442,medium,A,B,results/tradock_top1_success_structure_montages/structures/S-T136.2_model329_tradock_top1_success.pdb
