dataset,condition,target_index,target_total,target,status,message,elapsed_sec,n_poses,n_valid,n_success_available,best_available_dockq,top1_pose_model,top1_score,top1_dockq,top1_irmsd,top1_crmsd,top1_classification,success@1,success@3,success@5,success@10,success@100
DB5-g-u,apo_geodock,1,218,2I9B,done,,2.881,1,1,0,0.064000,geodock,-0.783931,0.064000,8.118329,12.839299,unacceptable,0,0,0,0,0
DB5-g-u,apo_geodock,2,218,3V6Z,done,,3.734,1,1,0,0.047000,geodock,-0.780024,0.047000,10.380575,10.383134,unacceptable,0,0,0,0,0
DB5-g-u,apo_geodock,3,218,2W9E,done,,3.253,1,1,0,0.010000,geodock,-0.731930,0.010000,17.251049,20.613701,unacceptable,0,0,0,0,0
DB5-g-u,apo_geodock,4,218,1F34,done,,2.859,1,1,0,0.059000,geodock,-0.706967,0.059000,8.669460,6.800792,unacceptable,0,0,0,0,0
DB5-g-u,apo_geodock,5,218,1ACB,done,,1.872,1,1,0,0.134000,geodock,-0.724634,0.134000,6.385526,7.467220,unacceptable,0,0,0,0,0
DB5-g-u,apo_geodock,6,218,4POU,done,,1.583,1,1,0,0.020000,geodock,-0.707420,0.020000,10.502646,13.866513,unacceptable,0,0,0,0,0
DB5-g-u,apo_geodock,7,218,1IRA,done,,2.631,1,1,0,0.134000,geodock,-0.744896,0.134000,9.034527,6.369543,unacceptable,0,0,0,0,0
DB5-g-u,apo_geodock,8,218,2J7P,done,,3.399,1,1,1,0.542000,geodock,-0.673543,0.542000,1.447608,1.471288,medium,1,1,1,1,1
DB5-g-u,apo_geodock,9,218,1Z5Y,done,,1.635,1,1,0,0.093000,geodock,-0.663684,0.093000,7.798682,10.451563,unacceptable,0,0,0,0,0
DB5-g-u,apo_geodock,10,218,1KAC,done,,1.893,1,1,0,0.124000,geodock,-0.756625,0.124000,6.736071,5.981443,unacceptable,0,0,0,0,0
DB5-g-u,apo_geodock,11,218,1RV6,done,,1.851,1,1,0,0.069000,geodock,-0.729116,0.069000,8.063377,10.520605,unacceptable,0,0,0,0,0
DB5-g-u,apo_geodock,12,218,2VXT,done,,3.384,1,1,0,0.009000,geodock,-0.748939,0.009000,15.547562,23.464529,unacceptable,0,0,0,0,0
