dataset,condition,target_index,target_total,target,pose_model,input_rank,tradock_rank,score,dockq,irmsd,crmsd,intersection,classification,success,status,message,pred_rec,pred_lig
DB5-g-u,apo_geodock,1,218,2I9B,geodock,1,1,-0.783931,0.064000,8.118329,12.839299,6.992121,unacceptable,0,done,,/root/PPCBench/results/DB5-g-u/geodock/2I9B/2I9B_geodock_rec_id.pdb,/root/PPCBench/results/DB5-g-u/geodock/2I9B/2I9B_geodock_id.pdb
DB5-g-u,apo_geodock,2,218,3V6Z,geodock,1,1,-0.780024,0.047000,10.380575,10.383134,10.787871,unacceptable,0,done,,/root/PPCBench/results/DB5-g-u/geodock/3V6Z/3V6Z_geodock_rec_id.pdb,/root/PPCBench/results/DB5-g-u/geodock/3V6Z/3V6Z_geodock_id.pdb
DB5-g-u,apo_geodock,3,218,2W9E,geodock,1,1,-0.731930,0.010000,17.251049,20.613701,2.339223,unacceptable,0,done,,/root/PPCBench/results/DB5-g-u/geodock/2W9E/2W9E_geodock_rec_id.pdb,/root/PPCBench/results/DB5-g-u/geodock/2W9E/2W9E_geodock_id.pdb
DB5-g-u,apo_geodock,4,218,1F34,geodock,1,1,-0.706967,0.059000,8.669460,6.800792,3.719869,unacceptable,0,done,,/root/PPCBench/results/DB5-g-u/geodock/1F34/1F34_geodock_rec_id.pdb,/root/PPCBench/results/DB5-g-u/geodock/1F34/1F34_geodock_id.pdb
DB5-g-u,apo_geodock,5,218,1ACB,geodock,1,1,-0.724634,0.134000,6.385526,7.467220,4.521887,unacceptable,0,done,,/root/PPCBench/results/DB5-g-u/geodock/1ACB/1ACB_geodock_rec_id.pdb,/root/PPCBench/results/DB5-g-u/geodock/1ACB/1ACB_geodock_id.pdb
DB5-g-u,apo_geodock,6,218,4POU,geodock,1,1,-0.707420,0.020000,10.502646,13.866513,8.587810,unacceptable,0,done,,/root/PPCBench/results/DB5-g-u/geodock/4POU/4POU_geodock_rec_id.pdb,/root/PPCBench/results/DB5-g-u/geodock/4POU/4POU_geodock_id.pdb
DB5-g-u,apo_geodock,7,218,1IRA,geodock,1,1,-0.744896,0.134000,9.034527,6.369543,3.748230,unacceptable,0,done,,/root/PPCBench/results/DB5-g-u/geodock/1IRA/1IRA_geodock_rec_id.pdb,/root/PPCBench/results/DB5-g-u/geodock/1IRA/1IRA_geodock_id.pdb
DB5-g-u,apo_geodock,8,218,2J7P,geodock,1,1,-0.673543,0.542000,1.447608,1.471288,0.381527,medium,1,done,,/root/PPCBench/results/DB5-g-u/geodock/2J7P/2J7P_geodock_rec_id.pdb,/root/PPCBench/results/DB5-g-u/geodock/2J7P/2J7P_geodock_id.pdb
DB5-g-u,apo_geodock,9,218,1Z5Y,geodock,1,1,-0.663684,0.093000,7.798682,10.451563,0.957748,unacceptable,0,done,,/root/PPCBench/results/DB5-g-u/geodock/1Z5Y/1Z5Y_geodock_rec_id.pdb,/root/PPCBench/results/DB5-g-u/geodock/1Z5Y/1Z5Y_geodock_id.pdb
DB5-g-u,apo_geodock,10,218,1KAC,geodock,1,1,-0.756625,0.124000,6.736071,5.981443,0.790063,unacceptable,0,done,,/root/PPCBench/results/DB5-g-u/geodock/1KAC/1KAC_geodock_rec_id.pdb,/root/PPCBench/results/DB5-g-u/geodock/1KAC/1KAC_geodock_id.pdb
DB5-g-u,apo_geodock,11,218,1RV6,geodock,1,1,-0.729116,0.069000,8.063377,10.520605,10.762771,unacceptable,0,done,,/root/PPCBench/results/DB5-g-u/geodock/1RV6/1RV6_geodock_rec_id.pdb,/root/PPCBench/results/DB5-g-u/geodock/1RV6/1RV6_geodock_id.pdb
DB5-g-u,apo_geodock,12,218,2VXT,geodock,1,1,-0.748939,0.009000,15.547562,23.464529,4.975328,unacceptable,0,done,,/root/PPCBench/results/DB5-g-u/geodock/2VXT/2VXT_geodock_rec_id.pdb,/root/PPCBench/results/DB5-g-u/geodock/2VXT/2VXT_geodock_id.pdb
DB5-g-u,apo_geodock,13,218,1OYV,geodock,1,1,-0.725087,0.025000,12.760835,11.319378,11.159448,unacceptable,0,done,,/root/PPCBench/results/DB5-g-u/geodock/1OYV/1OYV_geodock_rec_id.pdb,/root/PPCBench/results/DB5-g-u/geodock/1OYV/1OYV_geodock_id.pdb
DB5-g-u,apo_geodock,14,218,3S9D,geodock,1,1,-0.789037,0.067000,11.772521,15.307501,7.538642,unacceptable,0,done,,/root/PPCBench/results/DB5-g-u/geodock/3S9D/3S9D_geodock_rec_id.pdb,/root/PPCBench/results/DB5-g-u/geodock/3S9D/3S9D_geodock_id.pdb
