dataset,condition,target_index,target_total,target,pose_model,input_rank,tradock_rank,score,dockq,irmsd,crmsd,intersection,classification,success,status,message,pred_rec,pred_lig
DB5,holo,1,218,2I9B,lightdock_1,1,1,-1000000.000000,0.002000,74.461357,52.150131,0.000000,unacceptable,0,done,,/root/PPCBench/dataset/DB5/structures/2I9B/2I9B_r_b.pdb,/root/PPCBench/results/DB5/lightdock_1/2I9B/2I9B_lightdock_1_id.pdb
DB5,holo,1,218,2I9B,lightdock_2,2,2,-1000000.000000,0.002000,74.413315,51.970676,0.000000,unacceptable,0,done,,/root/PPCBench/dataset/DB5/structures/2I9B/2I9B_r_b.pdb,/root/PPCBench/results/DB5/lightdock_2/2I9B/2I9B_lightdock_2_id.pdb
DB5,holo,1,218,2I9B,lightdock_3,3,3,-1000000.000000,0.001000,68.071625,62.093494,0.000000,unacceptable,0,done,,/root/PPCBench/dataset/DB5/structures/2I9B/2I9B_r_b.pdb,/root/PPCBench/results/DB5/lightdock_3/2I9B/2I9B_lightdock_3_id.pdb
DB5,holo,1,218,2I9B,lightdock_4,4,4,-1000000.000000,0.001000,83.312096,65.399612,0.000000,unacceptable,0,done,,/root/PPCBench/dataset/DB5/structures/2I9B/2I9B_r_b.pdb,/root/PPCBench/results/DB5/lightdock_4/2I9B/2I9B_lightdock_4_id.pdb
DB5,holo,1,218,2I9B,lightdock_5,5,5,-1000000.000000,0.001000,71.915924,61.962482,0.000000,unacceptable,0,done,,/root/PPCBench/dataset/DB5/structures/2I9B/2I9B_r_b.pdb,/root/PPCBench/results/DB5/lightdock_5/2I9B/2I9B_lightdock_5_id.pdb
DB5,holo,2,218,3V6Z,lightdock_1,1,4,-0.854891,0.004000,30.756990,28.194281,0.000000,unacceptable,0,done,,/root/PPCBench/dataset/DB5/structures/3V6Z/3V6Z_r_b.pdb,/root/PPCBench/results/DB5/lightdock_1/3V6Z/3V6Z_lightdock_1_id.pdb
DB5,holo,2,218,3V6Z,lightdock_2,2,2,-0.789684,0.004000,38.887676,30.037155,0.000000,unacceptable,0,done,,/root/PPCBench/dataset/DB5/structures/3V6Z/3V6Z_r_b.pdb,/root/PPCBench/results/DB5/lightdock_2/3V6Z/3V6Z_lightdock_2_id.pdb
DB5,holo,2,218,3V6Z,lightdock_3,3,1,-0.582883,0.003000,45.037521,31.654570,0.000000,unacceptable,0,done,,/root/PPCBench/dataset/DB5/structures/3V6Z/3V6Z_r_b.pdb,/root/PPCBench/results/DB5/lightdock_3/3V6Z/3V6Z_lightdock_3_id.pdb
DB5,holo,2,218,3V6Z,lightdock_4,4,5,-0.908827,0.009000,27.232216,22.107893,10.829638,unacceptable,0,done,,/root/PPCBench/dataset/DB5/structures/3V6Z/3V6Z_r_b.pdb,/root/PPCBench/results/DB5/lightdock_4/3V6Z/3V6Z_lightdock_4_id.pdb
DB5,holo,2,218,3V6Z,lightdock_5,5,3,-0.854471,0.009000,25.707823,22.562012,15.242412,unacceptable,0,done,,/root/PPCBench/dataset/DB5/structures/3V6Z/3V6Z_r_b.pdb,/root/PPCBench/results/DB5/lightdock_5/3V6Z/3V6Z_lightdock_5_id.pdb
