target,n,top_model,top_score,top_fnat,top_dockq,top_class,fnat_top1_success,dockq_top1_success,n_fnat_success,n_dockq_success,first_fnat_rank,first_fnat_model,first_fnat_score,first_fnat,first_fnat_dockq,best_fnat_model,best_fnat_rank,best_fnat_score,best_fnat,best_fnat_dockq,best_dockq_model,best_dockq_rank,best_dockq_score,best_dockq,best_dockq_fnat
S-T024.1,20,348,-0.6387753486633301,0.0,0.0122,incorrect,False,False,0,0,0,,,,,336,16,-0.6946901679039001,0.0,0.0113,338,2,-0.6475833654403687,0.0317,0.0
S-T025.1,60,340,-0.6381134986877441,0.1731,0.1072,incorrect,False,False,20,22,3,376,-0.6419395208358765,0.9231,0.8286,376,3,-0.6419395208358765,0.9231,0.8286,376,3,-0.6419395208358765,0.8286,0.9231
S-T026.1,65,393,-0.6581473350524902,0.5054,0.6096,medium,True,True,14,35,1,393,-0.6581473350524902,0.5054,0.6096,363,30,-0.7090228199958801,0.5484,0.7067,412,24,-0.7065061330795288,0.7634,0.5161
S-T029.1,145,438,-0.6548285484313965,0.0,0.0109,incorrect,False,False,27,28,2,453,-0.6610672473907471,0.6327,0.6298,452,7,-0.6726240515708923,0.7959,0.7571,480,15,-0.6814598441123962,0.7768,0.7143
S-T030.1,131,473,-0.6628013253211975,0.0,0.0142,incorrect,False,False,0,0,0,,,,,448,69,-0.7335724234580994,0.2143,0.1357,470,48,-0.7157520651817322,0.1457,0.0455
S-T032.1,120,401,-0.6490946412086487,0.0,0.0193,incorrect,False,False,2,2,34,447,-0.6961941719055176,0.3412,0.2817,449,93,-0.7354542016983032,0.4706,0.4577,449,93,-0.7354542016983032,0.4577,0.4706
S-T035.1,101,420,-0.6728293299674988,0.0,0.009,incorrect,False,False,0,0,0,,,,,352,74,-0.7570770978927612,0.1538,0.1966,352,74,-0.7570770978927612,0.1966,0.1538
S-T036.1,80,340,-0.6584377884864807,0.0462,0.0391,incorrect,False,False,0,0,0,,,,,369,42,-0.7309197783470154,0.1692,0.0967,369,42,-0.7309197783470154,0.0967,0.1692
S-T037.1,110,415,-0.6326395273208618,0.0,0.0126,incorrect,False,False,22,26,10,446,-0.6724479794502258,0.7959,0.6757,444,54,-0.7050580382347107,0.9388,0.9033,444,54,-0.7050580382347107,0.9033,0.9388
S-T037.2,110,401,-0.6437974572181702,0.0204,0.1384,incorrect,False,False,9,11,8,402,-0.6696795225143433,0.6122,0.5449,405,14,-0.674075186252594,0.6735,0.7031,405,14,-0.674075186252594,0.7031,0.6735
S-T038.1,100,471,-0.6635484099388123,0.0,0.0478,incorrect,False,False,0,0,0,,,,,467,23,-0.7041133642196655,0.1176,0.1033,467,23,-0.7041133642196655,0.1033,0.1176
S-T039.1,130,368,-0.6655704975128174,0.0,0.0094,incorrect,False,False,0,0,0,,,,,486,81,-0.7383342981338501,0.0784,0.1276,486,81,-0.7383342981338501,0.1276,0.0784
S-T040.1,150,378,-1.4313490390777588,0.8594,0.7056,medium,True,True,59,59,1,378,-1.4313490390777588,0.8594,0.7056,381,36,-1.5144401788711548,0.9219,0.8416,490,78,-1.5743296146392822,0.9315,0.8906
S-T040.2,150,448,-0.6466532349586487,0.0,0.0383,incorrect,False,False,44,43,2,504,-0.6478655934333801,0.3684,0.2113,511,84,-0.7086535096168518,0.9452,0.899,391,121,-0.7439720630645752,0.9398,0.9079
S-T041.1,130,408,0.0,0.0,0.0018,incorrect,False,False,73,73,11,385,-0.6225258708000183,0.5932,0.4472,376,73,-0.6786836385726929,0.9492,0.9255,376,73,-0.6786836385726929,0.9255,0.9492
