dataset,condition,target_index,target_total,target,status,message,elapsed_sec,n_poses,n_valid,n_success_available,best_available_dockq,top1_pose_model,top1_score,top1_dockq,top1_irmsd,top1_crmsd,top1_classification,success@1,success@3,success@5,success@10,success@100
DB5,holo,1,218,2I9B,done,,3.916,1,1,1,0.972000,hdock_1,-0.722236,0.972000,0.237685,0.255566,high,1,1,1,1,1
DB5,holo,2,218,3V6Z,done,,4.879,1,1,1,0.944000,hdock_1,-0.691245,0.944000,0.485159,0.618161,high,1,1,1,1,1
DB5,holo,3,218,2W9E,done,,4.649,1,1,1,0.955000,hdock_1,-0.740385,0.955000,0.354841,0.566245,high,1,1,1,1,1
DB5,holo,4,218,1F34,done,,4.022,1,1,1,0.990000,hdock_1,-0.730500,0.990000,0.235552,0.239546,high,1,1,1,1,1
DB5,holo,5,218,1ACB,done,,2.522,1,1,1,0.933000,hdock_1,-0.728744,0.933000,0.279118,0.655579,high,1,1,1,1,1
DB5,holo,6,218,4POU,done,,2.262,1,1,1,0.996000,hdock_1,-0.677225,0.996000,0.128110,0.158653,high,1,1,1,1,1
DB5,holo,7,218,1IRA,done,,3.926,1,1,1,0.962000,hdock_1,-0.692679,0.962000,0.397460,0.414808,high,1,1,1,1,1
DB5,holo,8,218,2J7P,done,,4.880,1,1,1,0.992000,hdock_1,-0.679918,0.992000,0.166914,0.187699,high,1,1,1,1,1
DB5,holo,9,218,1Z5Y,done,,2.325,1,1,1,0.963000,hdock_1,-0.716658,0.963000,0.212938,0.421132,high,1,1,1,1,1
DB5,holo,10,218,1KAC,done,,2.613,1,1,1,0.988000,hdock_1,-0.813945,0.988000,0.274394,0.256654,high,1,1,1,1,1
DB5,holo,11,218,1RV6,done,,2.707,1,1,1,0.979000,hdock_1,-0.708893,0.979000,0.344671,0.373278,high,1,1,1,1,1
DB5,holo,12,218,2VXT,done,,4.908,1,1,1,0.995000,hdock_1,-0.761994,0.995000,0.173992,0.159484,high,1,1,1,1,1
DB5,holo,13,218,1OYV,done,,3.045,1,1,1,0.960000,hdock_1,-0.709241,0.960000,0.323593,0.424209,high,1,1,1,1,1
DB5,holo,14,218,3S9D,done,,2.742,1,1,1,0.996000,hdock_1,-0.714048,0.996000,0.191634,0.143146,high,1,1,1,1,1
DB5,holo,15,218,1KXP,done,,6.577,1,1,1,0.973000,hdock_1,-0.694982,0.973000,0.338261,0.340629,high,1,1,1,1,1
DB5,holo,16,218,3P57,done,,2.553,1,1,0,0.018000,hdock_1,-0.716708,0.018000,9.406371,17.418756,unacceptable,0,0,0,0,0
DB5,holo,17,218,2HLE,done,,2.737,1,1,1,0.976000,hdock_1,-0.695049,0.976000,0.246745,0.367881,high,1,1,1,1,1
DB5,holo,18,218,1GLA,done,,5.328,1,1,0,0.006000,hdock_1,-0.712731,0.006000,29.551405,23.231255,unacceptable,0,0,0,0,0
DB5,holo,19,218,1IB1,done,,5.473,1,1,1,0.980000,hdock_1,-0.736622,0.980000,0.192962,0.225538,high,1,1,1,1,1
DB5,holo,20,218,2AJF,done,,6.675,1,1,1,0.976000,hdock_1,-0.710039,0.976000,0.350477,0.365577,high,1,1,1,1,1
DB5,holo,21,218,5O1R,done,,4.417,1,1,1,0.986000,hdock_1,-0.693586,0.986000,0.270488,0.243891,high,1,1,1,1,1
DB5,holo,22,218,1HE8,done,,7.910,1,1,0,0.004000,hdock_1,-0.717749,0.004000,26.575705,30.196556,unacceptable,0,0,0,0,0
DB5,holo,23,218,4JCV,done,,8.237,1,1,0,0.007000,hdock_1,-0.751553,0.007000,25.411282,25.963610,unacceptable,0,0,0,0,0
DB5,holo,24,218,3RVW,done,,5.698,1,1,1,0.968000,hdock_1,-0.687238,0.968000,0.339626,0.537225,high,1,1,1,1,1
DB5,holo,25,218,1H1V,done,,6.084,1,1,1,0.972000,hdock_1,-0.746621,0.972000,0.313168,0.342704,high,1,1,1,1,1
DB5,holo,26,218,5KOV,done,,5.995,1,1,1,0.991000,hdock_1,-0.754825,0.991000,0.151932,0.276890,high,1,1,1,1,1
DB5,holo,27,218,1EZU,done,,4.350,1,1,1,0.993000,hdock_1,-0.771643,0.993000,0.193601,0.204225,high,1,1,1,1,1
DB5,holo,28,218,6DBG,done,,3.675,1,1,1,0.988000,hdock_1,-0.709461,0.988000,0.255595,0.305771,high,1,1,1,1,1
DB5,holo,29,218,2FJU,done,,7.792,1,1,0,0.005000,hdock_1,-0.693634,0.005000,26.694130,29.136229,unacceptable,0,0,0,0,0
DB5,holo,30,218,1PXV,done,,2.608,1,1,1,0.983000,hdock_1,-0.708815,0.983000,0.165869,0.322492,high,1,1,1,1,1
DB5,holo,31,218,1MLC,done,,5.004,1,1,1,0.983000,hdock_1,-0.685735,0.983000,0.322171,0.292771,high,1,1,1,1,1
DB5,holo,32,218,3HMX,done,,7.797,1,1,1,0.957000,hdock_1,-0.687765,0.957000,0.519555,0.577795,high,1,1,1,1,1
DB5,holo,33,218,2I25,done,,2.251,1,1,1,0.969000,hdock_1,-0.725411,0.969000,0.258096,0.415476,high,1,1,1,1,1
